#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
896, 1438.646,   0.490,      6.548,   6.548,6422528,19267584, 6422528, 3,1,partition 1, 3.088960, 2.486304, 0.972416
896, 1438.646,   0.233,      6.557,   6.557,6422528,19267584, 6422528, 3,1,partition 1, 3.101248, 2.487360, 0.968448
896, 1438.646,   0.240,      6.576,   6.576,6422528,19267584, 6422528, 3,1,partition 1, 3.108064, 2.492288, 0.975168
896, 1438.646,   0.216,      6.720,   6.720,6422528,19267584, 6422528, 3,1,partition 1, 3.196160, 2.546720, 0.977120
896, 1438.646,   0.212,      6.694,   6.694,6422528,19267584, 6422528, 3,1,partition 1, 3.181728, 2.535584, 0.976352
1792, 11509.170,   0.203,     34.677,  34.677,6422528,77070336, 25690112, 12,4,partition 1, 12.439040, 18.377760, 3.860128
1792, 11509.170,   0.224,     34.702,  34.702,6422528,77070336, 25690112, 12,4,partition 1, 12.454688, 18.381184, 3.866432
1792, 11509.170,   0.213,     34.694,  34.694,6422528,77070336, 25690112, 12,4,partition 1, 12.438784, 18.393536, 3.861632
1792, 11509.170,   0.211,     34.686,  34.686,6422528,77070336, 25690112, 12,4,partition 1, 12.431328, 18.390207, 3.864608
1792, 11509.170,   0.223,     35.028,  35.028,6422528,77070336, 25690112, 12,4,partition 1, 12.473056, 18.693727, 3.861408
2688, 38843.449,   0.213,     97.590,  97.590,6422528,173408256, 57802752, 27,9,partition 1, 27.985184, 60.892799, 8.712224
2688, 38843.449,   0.196,     97.643,  97.643,6422528,173408256, 57802752, 27,9,partition 1, 27.972736, 60.945278, 8.725376
2688, 38843.449,   0.217,     97.570,  97.570,6422528,173408256, 57802752, 27,9,partition 1, 27.944481, 60.934528, 8.691264
2688, 38843.449,   0.207,     97.635,  97.635,6422528,173408256, 57802752, 27,9,partition 1, 27.987871, 60.942528, 8.704480
2688, 38843.449,   0.213,     97.590,  97.590,6422528,173408256, 57802752, 27,9,partition 1, 27.944416, 60.949120, 8.696384
3584, 92073.361,   0.256,    208.636, 208.636,6422528,308281344, 102760448, 48,16,partition 1, 49.701088, 143.469635, 15.465056
3584, 92073.361,   0.209,    208.669, 208.669,6422528,308281344, 102760448, 48,16,partition 1, 49.772449, 143.420547, 15.476352
3584, 92073.361,   0.208,    208.903, 208.903,6422528,308281344, 102760448, 48,16,partition 1, 49.719105, 143.733337, 15.450176
3584, 92073.361,   0.223,    209.054, 209.054,6422528,308281344, 102760448, 48,16,partition 1, 49.751041, 143.829987, 15.473120
3584, 92073.361,   0.226,    208.837, 208.837,6422528,308281344, 102760448, 48,16,partition 1, 49.737473, 143.630753, 15.469120
4480, 179830.784,   0.210,    381.183, 381.183,6422528,481689600, 160563200, 75,25,partition 1, 77.644035, 279.386810, 24.152321
4480, 179830.784,   0.212,    381.812, 381.812,6422528,481689600, 160563200, 75,25,partition 1, 77.641731, 280.040771, 24.129503
4480, 179830.784,   0.215,    381.072, 381.072,6422528,481689600, 160563200, 75,25,partition 1, 77.679420, 279.254150, 24.138304
4480, 179830.784,   0.212,    381.170, 381.170,6422528,481689600, 160563200, 75,25,partition 1, 77.611870, 279.419891, 24.138559
4480, 179830.784,   0.211,    381.299, 381.299,6422528,481689600, 160563200, 75,25,partition 1, 77.654625, 279.480072, 24.164513
