#size, mflops, magma_cputime, magma_gputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH
128,   4.194,   0.235,      0.237,   0.000,  0.558, 65536, 393216, 131072,0,0
192,  14.156,   0.134,      0.136,   0.000,  0.512, 65536, 884736, 294912,0,0
256,  33.554,   0.149,      0.151,   0.000,  0.733, 65536, 1572864, 524288,0,0
320,  65.536,   0.182,      0.185,   0.000,  1.099, 65536, 2457600, 819200,0,0
384, 113.246,   0.193,      0.196,   0.000,  1.331, 65536, 3538944, 1179648,0,0
448, 179.831,   0.183,      0.185,   0.000,  1.781, 65536, 4816896, 1605632,0,0
512, 268.435,   0.176,      0.178,   0.000,  2.244, 65536, 6291456, 2097152,0,0
576, 382.206,   0.175,      0.177,   0.000,  2.834, 65536, 7962624, 2654208,0,0
640, 524.288,   0.178,      0.180,   0.000,  3.525, 65536, 9830400, 3276800,0,0
704, 697.827,   0.174,      0.176,   0.000,  4.300, 65536, 11894784, 3964928,0,0
768, 905.970,   0.177,      0.179,   0.000,  5.064, 65536, 14155776, 4718592,0,0
832, 1151.861,   0.181,      0.183,   0.000,  6.122, 65536, 16613376, 5537792,0,0
896, 1438.646,   0.174,      0.176,   0.000,  7.195, 65536, 19267584, 6422528,0,0
960, 1769.472,   0.182,      0.184,   0.000,  8.336, 65536, 22118400, 7372800,0,0
1024, 2147.484,   0.178,      0.179,   0.000,  9.676, 65536, 25165824, 8388608,0,0
1088, 2575.827,   0.181,      0.182,   0.000, 11.205, 65536, 28409856, 9469952,0,0
1152, 3057.648,   0.181,      0.183,   0.000, 12.583, 65536, 31850496, 10616832,0,0
1216, 3596.091,   0.186,      0.188,   0.000, 14.396, 65536, 35487744, 11829248,0,0
1280, 4194.304,   0.177,      0.179,   0.000, 16.113, 65536, 39321600, 13107200,0,0
1344, 4855.431,   0.181,      0.182,   0.000, 18.130, 65536, 43352064, 14450688,0,0
1408, 5582.619,   0.187,      0.189,   0.000, 20.391, 65536, 47579136, 15859712,0,0
1472, 6379.012,   0.187,      0.188,   0.000, 22.635, 65536, 52002816, 17334272,0,0
1536, 7247.757,   0.189,      0.190,   0.000, 24.798, 65536, 56623104, 18874368,0,0
1600, 8192.000,   0.191,      0.193,   0.000, 27.762, 65536, 61440000, 20480000,0,0
1664, 9214.886,   0.182,      0.184,   0.000, 30.478, 65536, 66453504, 22151168,0,0
1728, 10319.561,   0.193,      0.195,   0.000, 33.345, 65536, 71663616, 23887872,0,0
1792, 11509.170,   0.200,      0.202,   0.000, 36.467, 65536, 77070336, 25690112,0,0
1856, 12786.860,   0.223,      0.225,   0.000, 39.967, 65536, 82673664, 27557888,0,0
1920, 14155.776,   0.185,      0.188,   0.000, 43.200, 65536, 88473600, 29491200,0,0
1984, 15619.064,   0.211,      0.213,   0.000, 47.207, 65536, 94470144, 31490048,0,0
2048, 17179.869,   0.188,      0.190,   0.000, 50.948, 65536, 100663296, 33554432,0,0
2112, 18841.338,   0.184,      0.187,   0.000, 55.140, 65536, 107053056, 35684352,0,0
2176, 20606.616,   0.201,      0.203,   0.000, 59.605, 65536, 113639424, 37879808,0,0
2240, 22478.848,   0.181,      0.183,   0.000, 64.199, 65536, 120422400, 40140800,0,0
2304, 24461.181,   0.184,      0.187,   0.000, 68.615, 65536, 127401984, 42467328,0,0
2368, 26556.760,   0.189,      0.191,   0.000, 73.997, 65536, 134578176, 44859392,0,0
2432, 28768.731,   0.175,      0.177,   0.000, 79.184, 65536, 141950976, 47316992,0,0
2496, 31100.240,   0.205,      0.207,   0.000, 84.605, 65536, 149520384, 49840128,0,0
2560, 33554.432,   0.174,      0.176,   0.000, 90.444, 65536, 157286400, 52428800,0,0
2624, 36134.453,   0.181,      0.183,   0.000, 96.594, 65536, 165249024, 55083008,0,0
2688, 38843.449,   0.194,      0.197,   0.000,102.608, 65536, 173408256, 57802752,0,0
2752, 41684.566,   0.188,      0.189,   0.000,109.391, 65536, 181764096, 60588032,0,0
2816, 44660.949,   0.179,      0.182,   0.000,115.978, 65536, 190316544, 63438848,0,0
2880, 47775.744,   0.207,      0.210,   0.000,123.047, 65536, 199065600, 66355200,0,0
2944, 51032.097,   0.192,      0.195,   0.000,130.513, 65536, 208011264, 69337088,0,0
3008, 54433.153,   0.198,      0.201,   0.000,138.211, 65536, 217153536, 72384512,0,0
3072, 57982.058,   0.183,      0.185,   0.000,145.488, 65536, 226492416, 75497472,0,0
3136, 61681.959,   0.193,      0.195,   0.000,154.362, 65536, 236027904, 78675968,0,0
3200, 65536.000,   0.194,      0.195,   0.000,162.807, 65536, 245760000, 81920000,0,0
3264, 69547.327,   0.199,      0.201,   0.000,171.367, 65536, 255688704, 85229568,0,0
3328, 73719.087,   0.194,      0.195,   0.000,180.479, 65536, 265814016, 88604672,0,0
3392, 78054.425,   0.190,      0.191,   0.000,190.243, 65536, 276135936, 92045312,0,0
3456, 82556.486,   0.182,      0.183,   0.000,199.675, 65536, 286654464, 95551488,0,0
3520, 87228.416,   0.192,      0.193,   0.000,209.904, 65536, 297369600, 99123200,0,0
3584, 92073.361,   0.179,      0.179,   0.000,220.172, 65536, 308281344, 102760448,0,0
3648, 97094.468,   0.178,      0.179,   0.000,230.873, 65536, 319389696, 106463232,0,0
3712, 102294.880,   0.194,      0.194,   0.000,242.293, 65536, 330694656, 110231552,0,0
3776, 107677.745,   0.188,      0.189,   0.000,253.803, 65536, 342196224, 114065408,0,0
3840, 113246.208,   0.183,      0.184,   0.000,265.062, 65536, 353894400, 117964800,0,0
3904, 119003.415,   0.190,      0.190,   0.000,277.500, 65536, 365789184, 121929728,0,0
3968, 124952.510,   0.180,      0.180,   0.000,290.195, 65536, 377880576, 125960192,0,0
4032, 131096.642,   0.180,      0.180,   0.000,303.078, 65536, 390168576, 130056192,0,0
4096, 137438.953,   0.177,      0.178,   0.000,316.116, 65536, 402653184, 134217728,0,0
