#size, mflops, magma_cputime, magma_gputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH
128,   4.194,   0.517,      0.519,   0.000,  1.015, 65536, 393216, 131072,0,0
192,  14.156,   0.413,      0.415,   0.000,  1.107, 65536, 884736, 294912,0,0
256,  33.554,   0.445,      0.447,   0.000,  1.513, 65536, 1572864, 524288,0,0
320,  65.536,   0.434,      0.436,   0.000,  2.052, 65536, 2457600, 819200,0,0
384, 113.246,   0.451,      0.452,   0.000,  2.626, 65536, 3538944, 1179648,0,0
448, 179.831,   0.463,      0.464,   0.000,  3.528, 65536, 4816896, 1605632,0,0
512, 268.435,   0.434,      0.435,   0.000,  4.454, 65536, 6291456, 2097152,0,0
576, 382.206,   0.396,      0.400,   0.000,  5.414, 65536, 7962624, 2654208,0,0
640, 524.288,   0.375,      0.378,   0.000,  6.659, 65536, 9830400, 3276800,0,0
704, 697.827,   0.367,      0.371,   0.000,  8.166, 65536, 11894784, 3964928,0,0
768, 905.970,   0.359,      0.361,   0.000,  9.688, 65536, 14155776, 4718592,0,0
832, 1151.861,   0.380,      0.382,   0.000, 11.766, 65536, 16613376, 5537792,0,0
896, 1438.646,   0.368,      0.370,   0.000, 13.807, 65536, 19267584, 6422528,0,0
960, 1769.472,   0.391,      0.392,   0.000, 16.152, 65536, 22118400, 7372800,0,0
1024, 2147.484,   0.387,      0.389,   0.000, 18.720, 65536, 25165824, 8388608,0,0
1088, 2575.827,   0.382,      0.384,   0.000, 21.619, 65536, 28409856, 9469952,0,0
1152, 3057.648,   0.373,      0.376,   0.000, 24.512, 65536, 31850496, 10616832,0,0
1216, 3596.091,   0.377,      0.380,   0.000, 28.061, 65536, 35487744, 11829248,0,0
1280, 4194.304,   0.391,      0.393,   0.000, 31.615, 65536, 39321600, 13107200,0,0
1344, 4855.431,   0.376,      0.378,   0.000, 35.478, 65536, 43352064, 14450688,0,0
1408, 5582.619,   0.377,      0.380,   0.000, 39.868, 65536, 47579136, 15859712,0,0
1472, 6379.012,   0.402,      0.404,   0.000, 44.503, 65536, 52002816, 17334272,0,0
1536, 7247.757,   0.405,      0.406,   0.000, 49.078, 65536, 56623104, 18874368,0,0
1600, 8192.000,   0.401,      0.404,   0.000, 54.532, 65536, 61440000, 20480000,0,0
1664, 9214.886,   0.385,      0.387,   0.000, 60.032, 65536, 66453504, 22151168,0,0
1728, 10319.561,   0.396,      0.397,   0.000, 65.855, 65536, 71663616, 23887872,0,0
1792, 11509.170,   0.386,      0.388,   0.000, 72.202, 65536, 77070336, 25690112,0,0
1856, 12786.860,   0.378,      0.379,   0.000, 78.968, 65536, 82673664, 27557888,0,0
1920, 14155.776,   0.392,      0.393,   0.000, 85.616, 65536, 88473600, 29491200,0,0
1984, 15619.064,   0.452,      0.454,   0.000, 93.493, 65536, 94470144, 31490048,0,0
2048, 17179.869,   0.423,      0.427,   0.000,101.222, 65536, 100663296, 33554432,0,0
2112, 18841.338,   0.402,      0.404,   0.000,109.382, 65536, 107053056, 35684352,0,0
2176, 20606.616,   0.439,      0.440,   0.000,118.158, 65536, 113639424, 37879808,0,0
2240, 22478.848,   0.406,      0.407,   0.000,127.338, 65536, 120422400, 40140800,0,0
2304, 24461.181,   0.400,      0.402,   0.000,136.683, 65536, 127401984, 42467328,0,0
2368, 26556.760,   0.435,      0.436,   0.000,147.035, 65536, 134578176, 44859392,0,0
2432, 28768.731,   0.408,      0.409,   0.000,157.440, 65536, 141950976, 47316992,0,0
2496, 31100.240,   0.431,      0.431,   0.000,168.296, 65536, 149520384, 49840128,0,0
2560, 33554.432,   0.418,      0.419,   0.000,180.050, 65536, 157286400, 52428800,0,0
2624, 36134.453,   0.425,      0.425,   0.000,192.142, 65536, 165249024, 55083008,0,0
2688, 38843.449,   0.411,      0.412,   0.000,204.378, 65536, 173408256, 57802752,0,0
2752, 41684.566,   0.401,      0.402,   0.000,217.520, 65536, 181764096, 60588032,0,0
2816, 44660.949,   0.393,      0.393,   0.000,231.229, 65536, 190316544, 63438848,0,0
2880, 47775.744,   0.399,      0.400,   0.000,245.144, 65536, 199065600, 66355200,0,0
2944, 51032.097,   0.378,      0.379,   0.000,259.913, 65536, 208011264, 69337088,0,0
3008, 54433.153,   0.377,      0.377,   0.000,275.244, 65536, 217153536, 72384512,0,0
3072, 57982.058,   0.418,      0.418,   0.000,290.724, 65536, 226492416, 75497472,0,0
3136, 61681.959,   0.383,      0.383,   0.000,307.544, 65536, 236027904, 78675968,0,0
3200, 65536.000,   0.376,      0.376,   0.000,324.736, 65536, 245760000, 81920000,0,0
3264, 69547.327,   0.452,      0.453,   0.000,342.249, 65536, 255688704, 85229568,0,0
3328, 73719.087,   0.453,      0.454,   0.000,360.452, 65536, 265814016, 88604672,0,0
3392, 78054.425,   0.430,      0.432,   0.000,379.396, 65536, 276135936, 92045312,0,0
3456, 82556.486,   0.448,      0.450,   0.000,398.476, 65536, 286654464, 95551488,0,0
3520, 87228.416,   0.450,      0.451,   0.000,418.953, 65536, 297369600, 99123200,0,0
3584, 92073.361,   0.453,      0.454,   0.000,439.924, 65536, 308281344, 102760448,0,0
3648, 97094.468,   0.454,      0.455,   0.000,460.980, 65536, 319389696, 106463232,0,0
3712, 102294.880,   0.438,      0.438,   0.000,483.656, 65536, 330694656, 110231552,0,0
3776, 107677.745,   0.459,      0.460,   0.000,506.341, 65536, 342196224, 114065408,0,0
3840, 113246.208,   0.440,      0.441,   0.000,530.202, 65536, 353894400, 117964800,0,0
3904, 119003.415,   0.454,      0.455,   0.000,554.369, 65536, 365789184, 121929728,0,0
3968, 124952.510,   0.434,      0.435,   0.000,579.515, 65536, 377880576, 125960192,0,0
4032, 131096.642,   0.447,      0.447,   0.000,605.312, 65536, 390168576, 130056192,0,0
4096, 137438.953,   0.411,      0.412,   0.000,631.851, 65536, 402653184, 134217728,0,0
