#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
128,   4.194,   0.104,   0.000,  1.259, 65536, 393216, 131072,6,2, partition 0, 0.115234, 0.942871, 0.079102
128,   4.194,   0.104,   0.000,  1.259, 65536, 393216, 131072,6,2, partition 1, 0.208252, 0.942871, 0.029053
128,   4.194,   0.077,   0.000,  0.698, 65536, 393216, 131072,6,2, partition 0, 0.102051, 0.428955, 0.045898
128,   4.194,   0.077,   0.000,  0.698, 65536, 393216, 131072,6,2, partition 1, 0.194092, 0.428955, 0.029297
128,   4.194,   0.076,   0.000,  0.771, 65536, 393216, 131072,6,2, partition 0, 0.096924, 0.492188, 0.065918
128,   4.194,   0.076,   0.000,  0.771, 65536, 393216, 131072,6,2, partition 1, 0.183838, 0.492188, 0.028809
128,   4.194,   0.073,   0.000,  0.745, 65536, 393216, 131072,6,2, partition 0, 0.100830, 0.463135, 0.061035
128,   4.194,   0.073,   0.000,  0.745, 65536, 393216, 131072,6,2, partition 1, 0.191895, 0.463135, 0.028809
128,   4.194,   0.065,   0.000,  0.687, 65536, 393216, 131072,6,2, partition 0, 0.100830, 0.416992, 0.045898
128,   4.194,   0.065,   0.000,  0.687, 65536, 393216, 131072,6,2, partition 1, 0.193848, 0.416992, 0.030273
160,   8.192,   0.049,   0.000,  0.787, 65536, 614400, 204800,6,2, partition 0, 0.135986, 0.427979, 0.055176
160,   8.192,   0.049,   0.000,  0.787, 65536, 614400, 204800,6,2, partition 1, 0.262939, 0.427979, 0.041016
160,   8.192,   0.064,   0.000,  0.835, 65536, 614400, 204800,6,2, partition 0, 0.140137, 0.455811, 0.070068
160,   8.192,   0.064,   0.000,  0.835, 65536, 614400, 204800,6,2, partition 1, 0.267090, 0.455811, 0.041016
160,   8.192,   0.061,   0.000,  0.789, 65536, 614400, 204800,6,2, partition 0, 0.135986, 0.406982, 0.075684
160,   8.192,   0.061,   0.000,  0.789, 65536, 614400, 204800,6,2, partition 1, 0.264160, 0.406982, 0.042236
160,   8.192,   0.071,   0.000,  0.832, 65536, 614400, 204800,6,2, partition 0, 0.134033, 0.464111, 0.071045
160,   8.192,   0.071,   0.000,  0.832, 65536, 614400, 204800,6,2, partition 1, 0.257080, 0.464111, 0.040039
160,   8.192,   0.059,   0.000,  0.757, 65536, 614400, 204800,6,2, partition 0, 0.135986, 0.377686, 0.076172
160,   8.192,   0.059,   0.000,  0.757, 65536, 614400, 204800,6,2, partition 1, 0.263184, 0.377686, 0.040039
192,  14.156,   0.054,   0.000,  0.923, 65536, 884736, 294912,6,2, partition 0, 0.203125, 0.410645, 0.083252
192,  14.156,   0.054,   0.000,  0.923, 65536, 884736, 294912,6,2, partition 1, 0.375244, 0.410645, 0.053955
192,  14.156,   0.052,   0.000,  0.794, 65536, 884736, 294912,6,2, partition 0, 0.180176, 0.324951, 0.064941
192,  14.156,   0.052,   0.000,  0.794, 65536, 884736, 294912,6,2, partition 1, 0.350098, 0.324951, 0.053955
192,  14.156,   0.055,   0.000,  0.822, 65536, 884736, 294912,6,2, partition 0, 0.191162, 0.345215, 0.062988
192,  14.156,   0.055,   0.000,  0.822, 65536, 884736, 294912,6,2, partition 1, 0.361084, 0.345215, 0.052979
192,  14.156,   0.052,   0.000,  0.796, 65536, 884736, 294912,6,2, partition 0, 0.179932, 0.325928, 0.064209
192,  14.156,   0.052,   0.000,  0.796, 65536, 884736, 294912,6,2, partition 1, 0.350830, 0.325928, 0.055176
192,  14.156,   0.050,   0.000,  0.777, 65536, 884736, 294912,6,2, partition 0, 0.177002, 0.315674, 0.062988
192,  14.156,   0.050,   0.000,  0.777, 65536, 884736, 294912,6,2, partition 1, 0.344238, 0.315674, 0.054199
224,  22.479,   0.061,   0.000,  1.162, 65536, 1204224, 401408,6,2, partition 0, 0.232178, 0.532959, 0.105957
224,  22.479,   0.061,   0.000,  1.162, 65536, 1204224, 401408,6,2, partition 1, 0.452148, 0.532959, 0.071045
224,  22.479,   0.054,   0.000,  1.082, 65536, 1204224, 401408,6,2, partition 0, 0.231934, 0.452148, 0.105713
224,  22.479,   0.054,   0.000,  1.082, 65536, 1204224, 401408,6,2, partition 1, 0.452881, 0.452148, 0.071045
224,  22.479,   0.037,   0.000,  0.952, 65536, 1204224, 401408,6,2, partition 0, 0.228027, 0.354980, 0.081055
224,  22.479,   0.037,   0.000,  0.952, 65536, 1204224, 401408,6,2, partition 1, 0.447021, 0.354980, 0.068848
224,  22.479,   0.054,   0.000,  1.090, 65536, 1204224, 401408,6,2, partition 0, 0.233154, 0.462158, 0.101807
224,  22.479,   0.054,   0.000,  1.090, 65536, 1204224, 401408,6,2, partition 1, 0.455078, 0.462158, 0.071045
224,  22.479,   0.064,   0.000,  1.175, 65536, 1204224, 401408,6,2, partition 0, 0.231201, 0.550049, 0.102051
224,  22.479,   0.064,   0.000,  1.175, 65536, 1204224, 401408,6,2, partition 1, 0.452148, 0.550049, 0.070801
256,  33.554,   0.054,   0.000,  1.397, 65536, 1572864, 524288,6,2, partition 0, 0.288086, 0.641602, 0.102051
256,  33.554,   0.054,   0.000,  1.397, 65536, 1572864, 524288,6,2, partition 1, 0.565186, 0.641602, 0.088135
256,  33.554,   0.078,   0.000,  1.462, 65536, 1572864, 524288,6,2, partition 0, 0.291260, 0.682861, 0.121094
256,  33.554,   0.078,   0.000,  1.462, 65536, 1572864, 524288,6,2, partition 1, 0.570068, 0.682861, 0.087891
256,  33.554,   0.068,   0.000,  1.360, 65536, 1572864, 524288,6,2, partition 0, 0.290039, 0.571045, 0.129883
256,  33.554,   0.068,   0.000,  1.360, 65536, 1572864, 524288,6,2, partition 1, 0.570068, 0.571045, 0.088867
256,  33.554,   0.080,   0.000,  1.436, 65536, 1572864, 524288,6,2, partition 0, 0.290283, 0.657227, 0.117920
256,  33.554,   0.080,   0.000,  1.436, 65536, 1572864, 524288,6,2, partition 1, 0.572021, 0.657227, 0.088867
256,  33.554,   0.044,   0.000,  1.119, 65536, 1572864, 524288,6,2, partition 0, 0.290039, 0.353760, 0.097168
256,  33.554,   0.044,   0.000,  1.119, 65536, 1572864, 524288,6,2, partition 1, 0.580078, 0.353760, 0.087891
288,  47.776,   0.025,   0.000,  1.439, 65536, 1990656, 663552,6,2, partition 0, 0.360840, 0.499023, 0.122070
288,  47.776,   0.025,   0.000,  1.439, 65536, 1990656, 663552,6,2, partition 1, 0.707764, 0.499023, 0.109863
288,  47.776,   0.061,   0.000,  1.704, 65536, 1990656, 663552,6,2, partition 0, 0.362793, 0.740967, 0.139893
288,  47.776,   0.061,   0.000,  1.704, 65536, 1990656, 663552,6,2, partition 1, 0.710938, 0.740967, 0.111084
288,  47.776,   0.080,   0.000,  1.792, 65536, 1990656, 663552,6,2, partition 0, 0.361816, 0.819824, 0.152100
288,  47.776,   0.080,   0.000,  1.792, 65536, 1990656, 663552,6,2, partition 1, 0.709961, 0.819824, 0.110107
288,  47.776,   0.094,   0.000,  1.746, 65536, 1990656, 663552,6,2, partition 0, 0.353760, 0.816895, 0.120850
288,  47.776,   0.094,   0.000,  1.746, 65536, 1990656, 663552,6,2, partition 1, 0.697998, 0.816895, 0.110107
