#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
128,   4.194,   0.110,   0.000,  1.267, 65536, 393216, 131072,6,2, partition 0, 0.126709, 0.951172, 0.066895
128,   4.194,   0.110,   0.000,  1.267, 65536, 393216, 131072,6,2, partition 1, 0.218750, 0.951172, 0.030029
128,   4.194,   0.093,   0.000,  0.809, 65536, 393216, 131072,6,2, partition 0, 0.097900, 0.526855, 0.066895
128,   4.194,   0.093,   0.000,  0.809, 65536, 393216, 131072,6,2, partition 1, 0.186279, 0.526855, 0.029053
128,   4.194,   0.046,   0.000,  0.475, 65536, 393216, 131072,6,2, partition 0, 0.113037, 0.205078, 0.035889
128,   4.194,   0.046,   0.000,  0.475, 65536, 393216, 131072,6,2, partition 1, 0.205078, 0.205078, 0.029297
128,   4.194,   0.074,   0.000,  0.721, 65536, 393216, 131072,6,2, partition 0, 0.098877, 0.438965, 0.062012
128,   4.194,   0.074,   0.000,  0.721, 65536, 393216, 131072,6,2, partition 1, 0.190918, 0.438965, 0.029053
128,   4.194,   0.079,   0.000,  0.730, 65536, 393216, 131072,6,2, partition 0, 0.108154, 0.437744, 0.062012
128,   4.194,   0.079,   0.000,  0.730, 65536, 393216, 131072,6,2, partition 1, 0.200195, 0.437744, 0.030029
160,   8.192,   0.049,   0.000,  0.799, 65536, 614400, 204800,6,2, partition 0, 0.130859, 0.427002, 0.077148
160,   8.192,   0.049,   0.000,  0.799, 65536, 614400, 204800,6,2, partition 1, 0.252930, 0.427002, 0.040771
160,   8.192,   0.035,   0.000,  0.595, 65536, 614400, 204800,6,2, partition 0, 0.142090, 0.226807, 0.047119
160,   8.192,   0.035,   0.000,  0.595, 65536, 614400, 204800,6,2, partition 1, 0.281250, 0.226807, 0.040039
160,   8.192,   0.031,   0.000,  0.579, 65536, 614400, 204800,6,2, partition 0, 0.149170, 0.214111, 0.047852
160,   8.192,   0.031,   0.000,  0.579, 65536, 614400, 204800,6,2, partition 1, 0.276855, 0.214111, 0.040039
160,   8.192,   0.029,   0.000,  0.550, 65536, 614400, 204800,6,2, partition 0, 0.131104, 0.205078, 0.046875
160,   8.192,   0.029,   0.000,  0.550, 65536, 614400, 204800,6,2, partition 1, 0.258057, 0.205078, 0.040039
160,   8.192,   0.029,   0.000,  0.568, 65536, 614400, 204800,6,2, partition 0, 0.141846, 0.210205, 0.047852
160,   8.192,   0.029,   0.000,  0.568, 65536, 614400, 204800,6,2, partition 1, 0.268799, 0.210205, 0.040039
192,  14.156,   0.044,   0.000,  0.970, 65536, 884736, 294912,6,2, partition 0, 0.198730, 0.460938, 0.089111
192,  14.156,   0.044,   0.000,  0.970, 65536, 884736, 294912,6,2, partition 1, 0.365967, 0.460938, 0.053955
192,  14.156,   0.056,   0.000,  0.922, 65536, 884736, 294912,6,2, partition 0, 0.178711, 0.452148, 0.066895
192,  14.156,   0.056,   0.000,  0.922, 65536, 884736, 294912,6,2, partition 1, 0.348633, 0.452148, 0.054199
192,  14.156,   0.069,   0.000,  0.990, 65536, 884736, 294912,6,2, partition 0, 0.176025, 0.504883, 0.088867
192,  14.156,   0.069,   0.000,  0.990, 65536, 884736, 294912,6,2, partition 1, 0.342285, 0.504883, 0.053955
192,  14.156,   0.063,   0.000,  0.927, 65536, 884736, 294912,6,2, partition 0, 0.178955, 0.433105, 0.089844
192,  14.156,   0.063,   0.000,  0.927, 65536, 884736, 294912,6,2, partition 1, 0.348877, 0.433105, 0.054932
192,  14.156,   0.068,   0.000,  0.953, 65536, 884736, 294912,6,2, partition 0, 0.175049, 0.472168, 0.083984
192,  14.156,   0.068,   0.000,  0.953, 65536, 884736, 294912,6,2, partition 1, 0.343018, 0.472168, 0.053955
224,  22.479,   0.060,   0.000,  1.096, 65536, 1204224, 401408,6,2, partition 0, 0.231201, 0.468018, 0.099854
224,  22.479,   0.060,   0.000,  1.096, 65536, 1204224, 401408,6,2, partition 1, 0.453125, 0.468018, 0.074219
224,  22.479,   0.090,   0.000,  1.292, 65536, 1204224, 401408,6,2, partition 0, 0.229980, 0.658936, 0.108887
224,  22.479,   0.090,   0.000,  1.292, 65536, 1204224, 401408,6,2, partition 1, 0.452881, 0.658936, 0.071289
224,  22.479,   0.064,   0.000,  1.039, 65536, 1204224, 401408,6,2, partition 0, 0.230225, 0.416992, 0.098877
224,  22.479,   0.064,   0.000,  1.039, 65536, 1204224, 401408,6,2, partition 1, 0.452148, 0.416992, 0.070068
224,  22.479,   0.078,   0.000,  1.202, 65536, 1204224, 401408,6,2, partition 0, 0.230225, 0.569824, 0.110107
224,  22.479,   0.078,   0.000,  1.202, 65536, 1204224, 401408,6,2, partition 1, 0.451172, 0.569824, 0.071045
224,  22.479,   0.070,   0.000,  1.119, 65536, 1204224, 401408,6,2, partition 0, 0.233154, 0.489990, 0.105957
224,  22.479,   0.070,   0.000,  1.119, 65536, 1204224, 401408,6,2, partition 1, 0.451172, 0.489990, 0.071777
256,  33.554,   0.046,   0.000,  1.251, 65536, 1572864, 524288,6,2, partition 0, 0.287842, 0.475830, 0.119873
256,  33.554,   0.046,   0.000,  1.251, 65536, 1572864, 524288,6,2, partition 1, 0.567139, 0.475830, 0.088135
256,  33.554,   0.037,   0.000,  1.183, 65536, 1572864, 524288,6,2, partition 0, 0.288086, 0.395020, 0.130127
256,  33.554,   0.037,   0.000,  1.183, 65536, 1572864, 524288,6,2, partition 1, 0.569092, 0.395020, 0.088867
256,  33.554,   0.049,   0.000,  1.202, 65536, 1572864, 524288,6,2, partition 0, 0.303955, 0.410156, 0.118896
256,  33.554,   0.049,   0.000,  1.202, 65536, 1572864, 524288,6,2, partition 1, 0.583740, 0.410156, 0.088867
256,  33.554,   0.061,   0.000,  1.361, 65536, 1572864, 524288,6,2, partition 0, 0.290771, 0.584961, 0.120850
