#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
2880, 47775.744,   0.691,    233.136, 238.119,7372800,199065600, 66355200, 54,18,partition 1, 56.910240, 161.252228, 9.990880
2880, 47775.744,   0.691,    233.136, 238.119,7372800,199065600, 66355200, 54,18,partition 2, 64.006401, 161.440674, 12.671904
2880, 47775.744,   0.436,    233.564, 238.596,7372800,199065600, 66355200, 54,18,partition 1, 57.294815, 161.206436, 10.030784
2880, 47775.744,   0.436,    233.564, 238.596,7372800,199065600, 66355200, 54,18,partition 2, 64.122589, 161.249893, 13.223648
2880, 47775.744,   0.577,    233.996, 238.985,7372800,199065600, 66355200, 54,18,partition 1, 57.783329, 161.256378, 9.967264
2880, 47775.744,   0.577,    233.996, 238.985,7372800,199065600, 66355200, 54,18,partition 2, 64.702431, 161.624954, 12.657504
2880, 47775.744,   0.430,    233.725, 238.714,7372800,199065600, 66355200, 54,18,partition 1, 57.550079, 161.220932, 9.963968
2880, 47775.744,   0.430,    233.725, 238.714,7372800,199065600, 66355200, 54,18,partition 2, 64.376320, 161.252090, 13.086016
2880, 47775.744,   0.425,    233.907, 238.890,7372800,199065600, 66355200, 54,18,partition 1, 57.690529, 161.273895, 9.960032
2880, 47775.744,   0.425,    233.907, 238.890,7372800,199065600, 66355200, 54,18,partition 2, 64.583298, 161.316483, 12.990272
2880, 47775.744,   0.464,    233.739, 238.718,7372800,199065600, 66355200, 54,18,partition 1, 57.700642, 161.072708, 9.986432
2880, 47775.744,   0.464,    233.739, 238.718,7372800,199065600, 66355200, 54,18,partition 2, 64.537186, 161.331833, 12.849184
2880, 47775.744,   0.450,    233.829, 238.819,7372800,199065600, 66355200, 54,18,partition 1, 57.690910, 161.168091, 9.980032
2880, 47775.744,   0.450,    233.829, 238.819,7372800,199065600, 66355200, 54,18,partition 2, 64.522110, 161.263687, 13.032928
2880, 47775.744,   0.458,    233.898, 238.877,7372800,199065600, 66355200, 54,18,partition 1, 57.689182, 161.258560, 9.970336
