#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
2880, 47775.744,   0.747,    357.897, 487.681,7372800,199065600, 66355200, 27,9,partition 1, 56.832993, 161.323608, 9.956544
3840, 47775.744,   0.747,    357.897, 487.681,7372800,353894400, 117964800, 48,16,partition 2, 88.749054, 381.305695, 17.625856
2880, 47775.744,   0.548,    359.402, 489.881,7372800,199065600, 66355200, 27,9,partition 1, 57.716896, 161.262589, 9.943680
3840, 47775.744,   0.548,    359.402, 489.881,7372800,353894400, 117964800, 48,16,partition 2, 89.837921, 382.423340, 17.619904
2880, 47775.744,   0.500,    358.436, 487.778,7372800,199065600, 66355200, 27,9,partition 1, 57.698303, 161.396805, 9.997728
3840, 47775.744,   0.500,    358.436, 487.778,7372800,353894400, 117964800, 48,16,partition 2, 89.394432, 380.766693, 17.617151
2880, 47775.744,   0.594,    359.034, 488.558,7372800,199065600, 66355200, 27,9,partition 1, 58.110176, 161.453186, 9.947040
3840, 47775.744,   0.594,    359.034, 488.558,7372800,353894400, 117964800, 48,16,partition 2, 90.139969, 380.781921, 17.636255
2880, 47775.744,   0.590,    358.903, 488.477,7372800,199065600, 66355200, 27,9,partition 1, 58.064705, 161.255814, 10.009024
3840, 47775.744,   0.590,    358.903, 488.477,7372800,353894400, 117964800, 48,16,partition 2, 89.932800, 380.898407, 17.645887
2880, 47775.744,   0.603,    359.627, 489.186,7372800,199065600, 66355200, 27,9,partition 1, 58.580479, 161.487427, 10.000928
3840, 47775.744,   0.603,    359.627, 489.186,7372800,353894400, 117964800, 48,16,partition 2, 90.715294, 380.800568, 17.670176
2880, 47775.744,   0.562,    359.271, 489.232,7372800,199065600, 66355200, 27,9,partition 1, 58.124577, 161.230911, 9.953152
3840, 47775.744,   0.562,    359.271, 489.232,7372800,353894400, 117964800, 48,16,partition 2, 90.438660, 381.155731, 17.637953
2880, 47775.744,   0.581,    359.891, 489.842,7372800,199065600, 66355200, 27,9,partition 1, 58.605953, 161.320892, 10.012864
3840, 47775.744,   0.581,    359.891, 489.842,7372800,353894400, 117964800, 48,16,partition 2, 90.803871, 381.340332, 17.698145
2880, 47775.744,   0.574,    359.705, 489.585,7372800,199065600, 66355200, 27,9,partition 1, 58.570721, 161.281662, 9.972128
3840, 47775.744,   0.574,    359.705, 489.585,7372800,353894400, 117964800, 48,16,partition 2, 90.757950, 381.132263, 17.694592
2880, 47775.744,   0.595,    359.425, 489.668,7372800,199065600, 66355200, 27,9,partition 1, 57.919647, 161.297958, 9.964352
3840, 47775.744,   0.595,    359.425, 489.668,7372800,353894400, 117964800, 48,16,partition 2, 90.199486, 381.812531, 17.655617
2880, 47775.744,   0.567,    359.532, 489.427,7372800,199065600, 66355200, 27,9,partition 1, 58.480320, 161.171265, 9.984992
3840, 47775.744,   0.567,    359.532, 489.427,7372800,353894400, 117964800, 48,16,partition 2, 90.656258, 381.082611, 17.688255
2880, 47775.744,   0.518,    359.271, 488.970,7372800,199065600, 66355200, 27,9,partition 1, 58.026562, 161.581635, 9.963808
3840, 47775.744,   0.518,    359.271, 488.970,7372800,353894400, 117964800, 48,16,partition 2, 90.191101, 381.132172, 17.646784
2880, 47775.744,   0.536,    359.020, 488.472,7372800,199065600, 66355200, 27,9,partition 1, 58.283970, 161.318527, 9.965152
3840, 47775.744,   0.536,    359.020, 488.472,7372800,353894400, 117964800, 48,16,partition 2, 89.966240, 380.839386, 17.666847
2880, 47775.744,   0.590,    360.317, 490.567,7372800,199065600, 66355200, 27,9,partition 1, 58.759552, 161.295105, 10.012032
3840, 47775.744,   0.590,    360.317, 490.567,7372800,353894400, 117964800, 48,16,partition 2, 90.810944, 382.050110, 17.706047
2880, 47775.744,   0.618,    358.845, 488.376,7372800,199065600, 66355200, 27,9,partition 1, 58.026176, 161.326431, 9.961984
3840, 47775.744,   0.618,    358.845, 488.376,7372800,353894400, 117964800, 48,16,partition 2, 90.245277, 380.490387, 17.640480
2880, 47775.744,   0.581,    359.733, 489.973,7372800,199065600, 66355200, 27,9,partition 1, 58.332161, 161.190140, 9.971328
3840, 47775.744,   0.581,    359.733, 489.973,7372800,353894400, 117964800, 48,16,partition 2, 90.874275, 381.451965, 17.647009
2880, 47775.744,   0.606,    359.925, 490.013,7372800,199065600, 66355200, 27,9,partition 1, 58.551617, 161.270950, 10.014272
3840, 47775.744,   0.606,    359.925, 490.013,7372800,353894400, 117964800, 48,16,partition 2, 90.704605, 381.634247, 17.674112
2880, 47775.744,   0.549,    359.295, 489.362,7372800,199065600, 66355200, 27,9,partition 1, 58.103329, 161.172195, 9.953216
3840, 47775.744,   0.549,    359.295, 489.362,7372800,353894400, 117964800, 48,16,partition 2, 89.935265, 381.791779, 17.634497
2880, 47775.744,   0.526,    359.194, 489.054,7372800,199065600, 66355200, 27,9,partition 1, 58.098335, 161.249054, 9.986176
3840, 47775.744,   0.526,    359.194, 489.054,7372800,353894400, 117964800, 48,16,partition 2, 89.901344, 381.479736, 17.673311
2880, 47775.744,   0.594,    360.152, 489.804,7372800,199065600, 66355200, 27,9,partition 1, 58.778561, 161.714111, 10.008128
3840, 47775.744,   0.594,    360.152, 489.804,7372800,353894400, 117964800, 48,16,partition 2, 90.837059, 381.274048, 17.692448
2880, 47775.744,   0.620,    359.490, 489.485,7372800,199065600, 66355200, 27,9,partition 1, 58.236446, 161.290146, 9.967968
3840, 47775.744,   0.620,    359.490, 489.485,7372800,353894400, 117964800, 48,16,partition 2, 90.287613, 381.545898, 17.651903
2880, 47775.744,   0.651,    359.679, 489.632,7372800,199065600, 66355200, 27,9,partition 1, 58.588127, 161.128738, 10.008160
3840, 47775.744,   0.651,    359.679, 489.632,7372800,353894400, 117964800, 48,16,partition 2, 90.898621, 381.053955, 17.679775
2880, 47775.744,   0.494,    359.256, 488.992,7372800,199065600, 66355200, 27,9,partition 1, 58.045536, 161.467972, 10.007072
3840, 47775.744,   0.494,    359.256, 488.992,7372800,353894400, 117964800, 48,16,partition 2, 90.248062, 381.054871, 17.688864
2880, 47775.744,   0.543,    359.034, 488.872,7372800,199065600, 66355200, 27,9,partition 1, 58.083839, 161.145401, 9.965792
3840, 47775.744,   0.543,    359.034, 488.872,7372800,353894400, 117964800, 48,16,partition 2, 89.906082, 381.332428, 17.633984
2880, 47775.744,   0.611,    359.067, 488.338,7372800,199065600, 66355200, 27,9,partition 1, 58.163456, 161.646881, 9.986336
3840, 47775.744,   0.611,    359.067, 488.338,7372800,353894400, 117964800, 48,16,partition 2, 89.986275, 380.681610, 17.670303
2880, 47775.744,   0.603,    359.361, 489.414,7372800,199065600, 66355200, 27,9,partition 1, 58.027489, 161.302399, 9.977632
3840, 47775.744,   0.603,    359.361, 489.414,7372800,353894400, 117964800, 48,16,partition 2, 90.203903, 381.456024, 17.754145
2880, 47775.744,   0.566,    359.034, 488.529,7372800,199065600, 66355200, 27,9,partition 1, 57.959007, 161.619232, 9.960544
3840, 47775.744,   0.566,    359.034, 488.529,7372800,353894400, 117964800, 48,16,partition 2, 89.823486, 381.052246, 17.653664
2880, 47775.744,   0.571,    359.503, 489.077,7372800,199065600, 66355200, 27,9,partition 1, 58.550720, 161.385757, 9.991552
3840, 47775.744,   0.571,    359.503, 489.077,7372800,353894400, 117964800, 48,16,partition 2, 90.742371, 380.620850, 17.713984
2880, 47775.744,   0.500,    359.343, 489.163,7372800,199065600, 66355200, 27,9,partition 1, 58.137249, 161.414047, 9.972096
