#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
1536, 7247.757,   0.834,     67.253,  89.774,2097152,56623104, 18874368, 27,9,partition 1, 17.093727, 24.757183, 2.880512
2048, 7247.757,   0.834,     67.253,  89.774,2097152,100663296, 33554432, 48,16,partition 2, 26.342400, 58.372608, 5.059232
1536, 7247.757,   0.594,     67.300,  89.895,2097152,56623104, 18874368, 27,9,partition 1, 17.111904, 24.714975, 2.877984
2048, 7247.757,   0.594,     67.300,  89.895,2097152,100663296, 33554432, 48,16,partition 2, 26.373407, 58.444992, 5.076864
1536, 7247.757,   0.646,     67.518,  90.087,2097152,56623104, 18874368, 27,9,partition 1, 17.120256, 24.957216, 2.870624
2048, 7247.757,   0.646,     67.518,  90.087,2097152,100663296, 33554432, 48,16,partition 2, 26.611263, 58.406494, 5.069280
1536, 7247.757,   0.567,     67.487,  90.057,2097152,56623104, 18874368, 27,9,partition 1, 17.053375, 24.974815, 2.888160
2048, 7247.757,   0.567,     67.487,  90.057,2097152,100663296, 33554432, 48,16,partition 2, 26.543968, 58.450752, 5.062016
1536, 7247.757,   0.603,     67.741,  90.343,2097152,56623104, 18874368, 27,9,partition 1, 17.248960, 25.012800, 2.876608
2048, 7247.757,   0.603,     67.741,  90.343,2097152,100663296, 33554432, 48,16,partition 2, 26.819263, 58.457664, 5.065824
1536, 7247.757,   0.546,     67.489,  90.054,2097152,56623104, 18874368, 27,9,partition 1, 17.089056, 24.959553, 2.874048
2048, 7247.757,   0.546,     67.489,  90.054,2097152,100663296, 33554432, 48,16,partition 2, 26.579872, 58.417278, 5.057248
1536, 7247.757,   0.685,     67.639,  90.226,2097152,56623104, 18874368, 27,9,partition 1, 17.145311, 25.024799, 2.882560
2048, 7247.757,   0.685,     67.639,  90.226,2097152,100663296, 33554432, 48,16,partition 2, 26.726336, 58.427776, 5.072192
1536, 7247.757,   0.601,     67.684,  90.294,2097152,56623104, 18874368, 27,9,partition 1, 17.217695, 24.981119, 2.875584
2048, 7247.757,   0.601,     67.684,  90.294,2097152,100663296, 33554432, 48,16,partition 2, 26.748447, 58.442719, 5.102368
1536, 7247.757,   0.600,     67.376,  89.978,2097152,56623104, 18874368, 27,9,partition 1, 17.146816, 24.751455, 2.876000
2048, 7247.757,   0.600,     67.376,  89.978,2097152,100663296, 33554432, 48,16,partition 2, 26.440289, 58.448257, 5.089696
1536, 7247.757,   0.568,     67.608,  90.171,2097152,56623104, 18874368, 27,9,partition 1, 17.143265, 25.029057, 2.872288
2048, 7247.757,   0.568,     67.608,  90.171,2097152,100663296, 33554432, 48,16,partition 2, 26.697792, 58.374943, 5.098656
1536, 7247.757,   0.656,     67.614,  90.202,2097152,56623104, 18874368, 27,9,partition 1, 17.130943, 25.012192, 2.882816
2048, 7247.757,   0.656,     67.614,  90.202,2097152,100663296, 33554432, 48,16,partition 2, 26.706656, 58.408543, 5.086944
1536, 7247.757,   0.600,     67.566,  90.144,2097152,56623104, 18874368, 27,9,partition 1, 17.147200, 24.962208, 2.878816
2048, 7247.757,   0.600,     67.566,  90.144,2097152,100663296, 33554432, 48,16,partition 2, 26.634592, 58.431328, 5.077888
1536, 7247.757,   0.633,     67.545,  90.158,2097152,56623104, 18874368, 27,9,partition 1, 17.104481, 24.958368, 2.867936
