#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
1536, 7247.757,   0.825,     46.685,  47.788,2097152,56623104, 18874368, 54,18,partition 1, 17.318848, 24.746401, 3.516544
1536, 7247.757,   0.825,     46.685,  47.788,2097152,56623104, 18874368, 54,18,partition 2, 19.415808, 24.736769, 3.635392
1536, 7247.757,   0.463,     46.739,  47.842,2097152,56623104, 18874368, 54,18,partition 1, 17.382624, 24.739777, 3.513408
1536, 7247.757,   0.463,     46.739,  47.842,2097152,56623104, 18874368, 54,18,partition 2, 19.480928, 24.758560, 3.602464
1536, 7247.757,   0.580,     46.772,  47.875,2097152,56623104, 18874368, 54,18,partition 1, 17.383743, 24.763935, 3.521408
1536, 7247.757,   0.580,     46.772,  47.875,2097152,56623104, 18874368, 54,18,partition 2, 19.482880, 24.715776, 3.676704
1536, 7247.757,   0.558,     46.743,  47.846,2097152,56623104, 18874368, 54,18,partition 1, 17.363712, 24.757792, 3.518944
1536, 7247.757,   0.558,     46.743,  47.846,2097152,56623104, 18874368, 54,18,partition 2, 19.452448, 24.727936, 3.665536
1536, 7247.757,   0.456,     47.087,  48.190,2097152,56623104, 18874368, 54,18,partition 1, 17.488319, 24.980513, 3.515072
1536, 7247.757,   0.456,     47.087,  48.190,2097152,56623104, 18874368, 54,18,partition 2, 19.817375, 24.782335, 3.590080
1536, 7247.757,   0.534,     46.949,  48.052,2097152,56623104, 18874368, 54,18,partition 1, 17.332352, 24.988993, 3.524544
1536, 7247.757,   0.534,     46.949,  48.052,2097152,56623104, 18874368, 54,18,partition 2, 19.663008, 24.729664, 3.659264
1536, 7247.757,   0.469,     46.980,  48.084,2097152,56623104, 18874368, 54,18,partition 1, 17.405760, 24.950239, 3.520768
1536, 7247.757,   0.469,     46.980,  48.084,2097152,56623104, 18874368, 54,18,partition 2, 19.746080, 24.724257, 3.613376
1536, 7247.757,   0.459,     46.986,  48.089,2097152,56623104, 18874368, 54,18,partition 1, 17.377728, 24.976641, 3.528640
1536, 7247.757,   0.459,     46.986,  48.089,2097152,56623104, 18874368, 54,18,partition 2, 19.713505, 24.722208, 3.653440
1536, 7247.757,   0.465,     46.961,  48.064,2097152,56623104, 18874368, 54,18,partition 1, 17.369793, 24.969856, 3.517472
1536, 7247.757,   0.465,     46.961,  48.064,2097152,56623104, 18874368, 54,18,partition 2, 19.700031, 24.729856, 3.634016
1536, 7247.757,   0.585,     47.045,  48.148,2097152,56623104, 18874368, 54,18,partition 1, 17.433792, 24.989569, 3.518208
1536, 7247.757,   0.585,     47.045,  48.148,2097152,56623104, 18874368, 54,18,partition 2, 19.798529, 24.714720, 3.634624
