#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
960, 1769.472,   0.925,     15.195,  15.573,819200,22118400, 7372800, 54,18,partition 1, 6.991072, 6.210144, 1.615712
960, 1769.472,   0.925,     15.195,  15.573,819200,22118400, 7372800, 54,18,partition 2, 7.830048, 6.200288, 1.542400
960, 1769.472,   0.475,     15.479,  15.856,819200,22118400, 7372800, 54,18,partition 1, 7.233632, 6.213184, 1.655808
960, 1769.472,   0.475,     15.479,  15.856,819200,22118400, 7372800, 54,18,partition 2, 8.076704, 6.222528, 1.556320
960, 1769.472,   0.496,     15.475,  15.851,819200,22118400, 7372800, 54,18,partition 1, 7.242240, 6.208448, 1.649088
960, 1769.472,   0.496,     15.475,  15.851,819200,22118400, 7372800, 54,18,partition 2, 8.090336, 6.211424, 1.549184
960, 1769.472,   0.474,     15.456,  15.831,819200,22118400, 7372800, 54,18,partition 1, 7.227648, 6.217856, 1.634784
960, 1769.472,   0.474,     15.456,  15.831,819200,22118400, 7372800, 54,18,partition 2, 8.071488, 6.209024, 1.550848
960, 1769.472,   0.398,     15.435,  15.811,819200,22118400, 7372800, 54,18,partition 1, 7.202720, 6.223360, 1.632928
960, 1769.472,   0.398,     15.435,  15.811,819200,22118400, 7372800, 54,18,partition 2, 8.048288, 6.207104, 1.555392
960, 1769.472,   0.450,     15.455,  15.829,819200,22118400, 7372800, 54,18,partition 1, 7.217440, 6.211360, 1.651200
960, 1769.472,   0.450,     15.455,  15.829,819200,22118400, 7372800, 54,18,partition 2, 8.056224, 6.216320, 1.556800
960, 1769.472,   0.521,     15.468,  15.845,819200,22118400, 7372800, 54,18,partition 1, 7.232928, 6.215712, 1.643296
960, 1769.472,   0.521,     15.468,  15.845,819200,22118400, 7372800, 54,18,partition 2, 8.079872, 6.212512, 1.552512
960, 1769.472,   0.424,     15.420,  15.796,819200,22118400, 7372800, 54,18,partition 1, 7.185920, 6.222592, 1.635136
960, 1769.472,   0.424,     15.420,  15.796,819200,22118400, 7372800, 54,18,partition 2, 8.028256, 6.211808, 1.555584
960, 1769.472,   0.452,     15.484,  15.870,819200,22118400, 7372800, 54,18,partition 1, 7.248896, 6.206496, 1.642464
960, 1769.472,   0.452,     15.484,  15.870,819200,22118400, 7372800, 54,18,partition 2, 8.092576, 6.210944, 1.566528
960, 1769.472,   0.455,     15.469,  15.844,819200,22118400, 7372800, 54,18,partition 1, 7.218688, 6.225664, 1.649472
960, 1769.472,   0.455,     15.469,  15.844,819200,22118400, 7372800, 54,18,partition 2, 8.057856, 6.236256, 1.549504
960, 1769.472,   0.404,     15.672,  16.048,819200,22118400, 7372800, 54,18,partition 1, 7.220960, 6.449824, 1.625280
960, 1769.472,   0.404,     15.672,  16.048,819200,22118400, 7372800, 54,18,partition 2, 8.303520, 6.197856, 1.546592
960, 1769.472,   0.500,     15.661,  16.036,819200,22118400, 7372800, 54,18,partition 1, 7.205248, 6.461472, 1.619968
960, 1769.472,   0.500,     15.661,  16.036,819200,22118400, 7372800, 54,18,partition 2, 8.277216, 6.209024, 1.549696
960, 1769.472,   0.444,     15.925,  16.301,819200,22118400, 7372800, 54,18,partition 1, 7.226112, 6.673568, 1.649472
960, 1769.472,   0.444,     15.925,  16.301,819200,22118400, 7372800, 54,18,partition 2, 8.539936, 6.210304, 1.551040
960, 1769.472,   0.395,     15.666,  16.042,819200,22118400, 7372800, 54,18,partition 1, 7.188032, 6.466528, 1.634976
960, 1769.472,   0.395,     15.666,  16.042,819200,22118400, 7372800, 54,18,partition 2, 8.278912, 6.218688, 1.544160
960, 1769.472,   0.440,     15.775,  16.151,819200,22118400, 7372800, 54,18,partition 1, 7.221088, 6.541344, 1.636864
960, 1769.472,   0.440,     15.775,  16.151,819200,22118400, 7372800, 54,18,partition 2, 8.385344, 6.212224, 1.553312
960, 1769.472,   0.419,     15.678,  16.054,819200,22118400, 7372800, 54,18,partition 1, 7.197568, 6.454784, 1.649632
960, 1769.472,   0.419,     15.678,  16.054,819200,22118400, 7372800, 54,18,partition 2, 8.275808, 6.211168, 1.566688
960, 1769.472,   0.398,     15.682,  16.058,819200,22118400, 7372800, 54,18,partition 1, 7.217984, 6.422208, 1.666112
960, 1769.472,   0.398,     15.682,  16.058,819200,22118400, 7372800, 54,18,partition 2, 8.273536, 6.234240, 1.550464
960, 1769.472,   0.516,     15.734,  16.110,819200,22118400, 7372800, 54,18,partition 1, 7.213152, 6.513856, 1.631616
960, 1769.472,   0.516,     15.734,  16.110,819200,22118400, 7372800, 54,18,partition 2, 8.361760, 6.200896, 1.547200
960, 1769.472,   0.442,     15.692,  16.067,819200,22118400, 7372800, 54,18,partition 1, 7.190240, 6.473760, 1.652896
960, 1769.472,   0.442,     15.692,  16.067,819200,22118400, 7372800, 54,18,partition 2, 8.304480, 6.217792, 1.545184
960, 1769.472,   0.444,     15.771,  16.146,819200,22118400, 7372800, 54,18,partition 1, 7.237184, 6.512736, 1.646400
960, 1769.472,   0.444,     15.771,  16.146,819200,22118400, 7372800, 54,18,partition 2, 8.382496, 6.213536, 1.550208
960, 1769.472,   0.401,     15.710,  16.087,819200,22118400, 7372800, 54,18,partition 1, 7.217696, 6.467008, 1.649664
960, 1769.472,   0.401,     15.710,  16.087,819200,22118400, 7372800, 54,18,partition 2, 8.310368, 6.208672, 1.567552
960, 1769.472,   0.448,     15.688,  16.064,819200,22118400, 7372800, 54,18,partition 1, 7.217472, 6.445504, 1.648960
960, 1769.472,   0.448,     15.688,  16.064,819200,22118400, 7372800, 54,18,partition 2, 8.292416, 6.212544, 1.558880
960, 1769.472,   0.433,     15.743,  16.119,819200,22118400, 7372800, 54,18,partition 1, 7.206752, 6.518944, 1.641088
960, 1769.472,   0.433,     15.743,  16.119,819200,22118400, 7372800, 54,18,partition 2, 8.356288, 6.206432, 1.555872
960, 1769.472,   0.411,     15.709,  16.085,819200,22118400, 7372800, 54,18,partition 1, 7.229024, 6.469728, 1.634240
960, 1769.472,   0.411,     15.709,  16.085,819200,22118400, 7372800, 54,18,partition 2, 8.329120, 6.202752, 1.552992
960, 1769.472,   0.482,     15.794,  16.169,819200,22118400, 7372800, 54,18,partition 1, 7.239392, 6.523488, 1.655168
960, 1769.472,   0.482,     15.794,  16.169,819200,22118400, 7372800, 54,18,partition 2, 8.397696, 6.217664, 1.554048
960, 1769.472,   0.432,     15.718,  16.094,819200,22118400, 7372800, 54,18,partition 1, 7.217664, 6.494336, 1.630144
960, 1769.472,   0.432,     15.718,  16.094,819200,22118400, 7372800, 54,18,partition 2, 8.323616, 6.203616, 1.566656
960, 1769.472,   0.426,     15.670,  16.046,819200,22118400, 7372800, 54,18,partition 1, 7.220096, 6.420320, 1.653696
960, 1769.472,   0.426,     15.670,  16.046,819200,22118400, 7372800, 54,18,partition 2, 8.272512, 6.207040, 1.566144
960, 1769.472,   0.431,     15.900,  16.274,819200,22118400, 7372800, 54,18,partition 1, 7.184320, 6.679104, 1.661536
960, 1769.472,   0.431,     15.900,  16.274,819200,22118400, 7372800, 54,18,partition 2, 8.488288, 6.234208, 1.551552
960, 1769.472,   0.475,     15.700,  16.076,819200,22118400, 7372800, 54,18,partition 1, 7.200416, 6.468896, 1.655200
960, 1769.472,   0.475,     15.700,  16.076,819200,22118400, 7372800, 54,18,partition 2, 8.299104, 6.208128, 1.568672
960, 1769.472,   0.488,     15.679,  16.060,819200,22118400, 7372800, 54,18,partition 1, 7.220160, 6.436192, 1.642208
960, 1769.472,   0.488,     15.679,  16.060,819200,22118400, 7372800, 54,18,partition 2, 8.295744, 6.207584, 1.556256
960, 1769.472,   0.551,     15.735,  16.111,819200,22118400, 7372800, 54,18,partition 1, 7.221984, 6.511392, 1.626112
960, 1769.472,   0.551,     15.735,  16.111,819200,22118400, 7372800, 54,18,partition 2, 8.358688, 6.206240, 1.546240
960, 1769.472,   0.431,     15.700,  16.076,819200,22118400, 7372800, 54,18,partition 1, 7.190496, 6.479968, 1.653984
960, 1769.472,   0.431,     15.700,  16.076,819200,22118400, 7372800, 54,18,partition 2, 8.292768, 6.213280, 1.569856
960, 1769.472,   0.446,     15.626,  16.008,819200,22118400, 7372800, 54,18,partition 1, 7.191872, 6.435872, 1.615744
960, 1769.472,   0.446,     15.626,  16.008,819200,22118400, 7372800, 54,18,partition 2, 8.246400, 6.200960, 1.560544
960, 1769.472,   0.419,     15.757,  16.132,819200,22118400, 7372800, 54,18,partition 1, 7.213920, 6.522784, 1.645344
960, 1769.472,   0.419,     15.757,  16.132,819200,22118400, 7372800, 54,18,partition 2, 8.367776, 6.214592, 1.549472
960, 1769.472,   0.427,     15.726,  16.102,819200,22118400, 7372800, 54,18,partition 1, 7.223680, 6.476032, 1.650592
960, 1769.472,   0.427,     15.726,  16.102,819200,22118400, 7372800, 54,18,partition 2, 8.321952, 6.212896, 1.567072
960, 1769.472,   0.425,     15.650,  16.025,819200,22118400, 7372800, 54,18,partition 1, 7.197152, 6.435872, 1.642272
960, 1769.472,   0.425,     15.650,  16.025,819200,22118400, 7372800, 54,18,partition 2, 8.265696, 6.216256, 1.542624
960, 1769.472,   0.444,     15.808,  16.184,819200,22118400, 7372800, 54,18,partition 1, 7.283424, 6.520576, 1.628832
960, 1769.472,   0.444,     15.808,  16.184,819200,22118400, 7372800, 54,18,partition 2, 8.416000, 6.209184, 1.558624
960, 1769.472,   0.500,     15.685,  16.061,819200,22118400, 7372800, 54,18,partition 1, 7.213056, 6.458944, 1.637984
960, 1769.472,   0.500,     15.685,  16.061,819200,22118400, 7372800, 54,18,partition 2, 8.303904, 6.195776, 1.560992
960, 1769.472,   0.418,     15.621,  15.998,819200,22118400, 7372800, 54,18,partition 1, 7.192448, 6.413664, 1.639136
960, 1769.472,   0.418,     15.621,  15.998,819200,22118400, 7372800, 54,18,partition 2, 8.233664, 6.208384, 1.555488
960, 1769.472,   0.411,     15.727,  16.103,819200,22118400, 7372800, 54,18,partition 1, 7.190144, 6.522464, 1.638240
960, 1769.472,   0.411,     15.727,  16.103,819200,22118400, 7372800, 54,18,partition 2, 8.321248, 6.226368, 1.555136
960, 1769.472,   0.427,     15.674,  16.050,819200,22118400, 7372800, 54,18,partition 1, 7.217184, 6.459168, 1.622144
960, 1769.472,   0.427,     15.674,  16.050,819200,22118400, 7372800, 54,18,partition 2, 8.305888, 6.201856, 1.542304
960, 1769.472,   0.421,     15.666,  16.042,819200,22118400, 7372800, 54,18,partition 1, 7.230368, 6.422784, 1.636704
960, 1769.472,   0.421,     15.666,  16.042,819200,22118400, 7372800, 54,18,partition 2, 8.283648, 6.204192, 1.554112
960, 1769.472,   0.437,     15.753,  16.129,819200,22118400, 7372800, 54,18,partition 1, 7.201280, 6.516288, 1.659616
