#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
1536, 7247.757,   1.042,     46.409,  47.829,2097152,56623104, 18874368, 54,18,partition 1, 17.343201, 24.742945, 2.902784
1536, 7247.757,   1.042,     46.409,  47.829,2097152,56623104, 18874368, 54,18,partition 2, 19.441919, 24.733824, 3.653472
1536, 7247.757,   0.518,     46.371,  47.789,2097152,56623104, 18874368, 54,18,partition 1, 17.323105, 24.744961, 2.884384
1536, 7247.757,   0.518,     46.371,  47.789,2097152,56623104, 18874368, 54,18,partition 2, 19.422976, 24.784800, 3.580800
1536, 7247.757,   0.547,     46.373,  47.791,2097152,56623104, 18874368, 54,18,partition 1, 17.323872, 24.746464, 2.885536
1536, 7247.757,   0.547,     46.373,  47.791,2097152,56623104, 18874368, 54,18,partition 2, 19.416449, 24.719072, 3.655456
1536, 7247.757,   0.561,     46.399,  47.820,2097152,56623104, 18874368, 54,18,partition 1, 17.342209, 24.749920, 2.885024
1536, 7247.757,   0.561,     46.399,  47.820,2097152,56623104, 18874368, 54,18,partition 2, 19.439585, 24.715263, 3.665568
1536, 7247.757,   0.459,     46.587,  48.009,2097152,56623104, 18874368, 54,18,partition 1, 17.313120, 24.975231, 2.877504
1536, 7247.757,   0.459,     46.587,  48.009,2097152,56623104, 18874368, 54,18,partition 2, 19.658943, 24.724545, 3.625568
1536, 7247.757,   0.625,     46.668,  48.096,2097152,56623104, 18874368, 54,18,partition 1, 17.355936, 25.007839, 2.876256
1536, 7247.757,   0.625,     46.668,  48.096,2097152,56623104, 18874368, 54,18,partition 2, 19.742271, 24.741856, 3.611456
1536, 7247.757,   0.832,     46.600,  48.018,2097152,56623104, 18874368, 54,18,partition 1, 17.314207, 24.970272, 2.896832
1536, 7247.757,   0.832,     46.600,  48.018,2097152,56623104, 18874368, 54,18,partition 2, 19.648512, 24.734112, 3.635424
1536, 7247.757,   0.579,     46.563,  47.982,2097152,56623104, 18874368, 54,18,partition 1, 17.287647, 24.975712, 2.880224
1536, 7247.757,   0.579,     46.563,  47.982,2097152,56623104, 18874368, 54,18,partition 2, 19.636225, 24.726048, 3.619936
1536, 7247.757,   0.511,     46.618,  48.043,2097152,56623104, 18874368, 54,18,partition 1, 17.276287, 25.052959, 2.863968
1536, 7247.757,   0.511,     46.618,  48.043,2097152,56623104, 18874368, 54,18,partition 2, 19.636192, 24.708960, 3.697376
1536, 7247.757,   0.549,     46.575,  47.997,2097152,56623104, 18874368, 54,18,partition 1, 17.304319, 24.974432, 2.874368
1536, 7247.757,   0.549,     46.575,  47.997,2097152,56623104, 18874368, 54,18,partition 2, 19.649792, 24.720127, 3.626784
1536, 7247.757,   0.516,     46.556,  47.977,2097152,56623104, 18874368, 54,18,partition 1, 17.300320, 24.960287, 2.873568
1536, 7247.757,   0.516,     46.556,  47.977,2097152,56623104, 18874368, 54,18,partition 2, 19.642817, 24.730623, 3.603584
1536, 7247.757,   0.505,     46.622,  48.041,2097152,56623104, 18874368, 54,18,partition 1, 17.367456, 24.961697, 2.873408
1536, 7247.757,   0.505,     46.622,  48.041,2097152,56623104, 18874368, 54,18,partition 2, 19.713535, 24.728319, 3.599040
1536, 7247.757,   0.535,     46.564,  47.983,2097152,56623104, 18874368, 54,18,partition 1, 17.320448, 24.947136, 2.877568
1536, 7247.757,   0.535,     46.564,  47.983,2097152,56623104, 18874368, 54,18,partition 2, 19.651648, 24.731457, 3.599840
1536, 7247.757,   0.464,     46.612,  48.062,2097152,56623104, 18874368, 54,18,partition 1, 17.292192, 24.969408, 2.900544
1536, 7247.757,   0.464,     46.612,  48.062,2097152,56623104, 18874368, 54,18,partition 2, 19.643488, 24.712193, 3.706432
1536, 7247.757,   0.595,     46.652,  48.073,2097152,56623104, 18874368, 54,18,partition 1, 17.303007, 25.052992, 2.874560
1536, 7247.757,   0.595,     46.652,  48.073,2097152,56623104, 18874368, 54,18,partition 2, 19.728128, 24.727425, 3.617792
1536, 7247.757,   0.586,     46.662,  48.084,2097152,56623104, 18874368, 54,18,partition 1, 17.312799, 25.047392, 2.879072
1536, 7247.757,   0.586,     46.662,  48.084,2097152,56623104, 18874368, 54,18,partition 2, 19.751232, 24.714880, 3.617856
1536, 7247.757,   0.535,     46.627,  48.048,2097152,56623104, 18874368, 54,18,partition 1, 17.308767, 25.016319, 2.880384
1536, 7247.757,   0.535,     46.627,  48.048,2097152,56623104, 18874368, 54,18,partition 2, 19.723969, 24.724928, 3.599072
1536, 7247.757,   0.546,     46.605,  48.024,2097152,56623104, 18874368, 54,18,partition 1, 17.298016, 25.014528, 2.873248
1536, 7247.757,   0.546,     46.605,  48.024,2097152,56623104, 18874368, 54,18,partition 2, 19.704449, 24.738976, 3.580960
1536, 7247.757,   0.557,     46.623,  48.051,2097152,56623104, 18874368, 54,18,partition 1, 17.324352, 25.000416, 2.869952
1536, 7247.757,   0.557,     46.623,  48.051,2097152,56623104, 18874368, 54,18,partition 2, 19.666271, 24.736671, 3.647584
1536, 7247.757,   0.490,     46.587,  48.012,2097152,56623104, 18874368, 54,18,partition 1, 17.342337, 24.950111, 2.868640
1536, 7247.757,   0.490,     46.587,  48.012,2097152,56623104, 18874368, 54,18,partition 2, 19.679104, 24.728449, 3.604832
1536, 7247.757,   0.468,     46.601,  48.021,2097152,56623104, 18874368, 54,18,partition 1, 17.307585, 24.989632, 2.883040
1536, 7247.757,   0.468,     46.601,  48.021,2097152,56623104, 18874368, 54,18,partition 2, 19.674561, 24.746080, 3.600832
1536, 7247.757,   0.649,     46.599,  48.023,2097152,56623104, 18874368, 54,18,partition 1, 17.344481, 24.950176, 2.879968
