#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
stopdiff: -0.873024
960, 1769.472,   1.097,     15.148,  15.584,819200,22118400, 7372800, 54,18,partition 1, 7.069632, 6.221920, 1.419808
960, 1769.472,   1.097,     15.148,  15.584,819200,22118400, 7372800, 54,18,partition 2, 7.905568, 6.210880, 1.467936
stopdiff: -0.876576
960, 1769.472,   0.483,     15.260,  15.699,819200,22118400, 7372800, 54,18,partition 1, 7.209184, 6.203328, 1.409632
960, 1769.472,   0.483,     15.260,  15.699,819200,22118400, 7372800, 54,18,partition 2, 8.047840, 6.211680, 1.439200
stopdiff: -0.879008
960, 1769.472,   0.542,     15.312,  15.751,819200,22118400, 7372800, 54,18,partition 1, 7.241344, 6.215904, 1.415200
960, 1769.472,   0.542,     15.312,  15.751,819200,22118400, 7372800, 54,18,partition 2, 8.074080, 6.230432, 1.446944
stopdiff: -0.879840
960, 1769.472,   0.552,     15.272,  15.712,819200,22118400, 7372800, 54,18,partition 1, 7.194176, 6.222912, 1.414624
960, 1769.472,   0.552,     15.272,  15.712,819200,22118400, 7372800, 54,18,partition 2, 8.031264, 6.217216, 1.463072
stopdiff: -0.873344
960, 1769.472,   0.514,     15.264,  15.701,819200,22118400, 7372800, 54,18,partition 1, 7.182816, 6.228928, 1.415968
960, 1769.472,   0.514,     15.264,  15.701,819200,22118400, 7372800, 54,18,partition 2, 8.020192, 6.212448, 1.468416
stopdiff: -0.876960
960, 1769.472,   0.520,     15.251,  15.689,819200,22118400, 7372800, 54,18,partition 1, 7.185408, 6.208640, 1.417984
960, 1769.472,   0.520,     15.251,  15.689,819200,22118400, 7372800, 54,18,partition 2, 8.021344, 6.216832, 1.450816
stopdiff: -0.879200
960, 1769.472,   0.504,     15.268,  15.708,819200,22118400, 7372800, 54,18,partition 1, 7.200608, 6.217056, 1.411040
960, 1769.472,   0.504,     15.268,  15.708,819200,22118400, 7372800, 54,18,partition 2, 8.036352, 6.209056, 1.462496
stopdiff: -0.882240
960, 1769.472,   0.773,     15.484,  15.926,819200,22118400, 7372800, 54,18,partition 1, 7.392256, 6.220928, 1.430112
960, 1769.472,   0.773,     15.484,  15.926,819200,22118400, 7372800, 54,18,partition 2, 8.245888, 6.216448, 1.463200
stopdiff: -0.888288
960, 1769.472,   0.495,     15.521,  15.965,819200,22118400, 7372800, 54,18,partition 1, 7.249792, 6.415200, 1.411744
960, 1769.472,   0.495,     15.521,  15.965,819200,22118400, 7372800, 54,18,partition 2, 8.283488, 6.221216, 1.460320
stopdiff: -0.887232
960, 1769.472,   0.488,     15.502,  15.945,819200,22118400, 7372800, 54,18,partition 1, 7.226720, 6.421760, 1.409664
960, 1769.472,   0.488,     15.502,  15.945,819200,22118400, 7372800, 54,18,partition 2, 8.269760, 6.204672, 1.470944
stopdiff: -0.887776
960, 1769.472,   0.501,     15.605,  16.049,819200,22118400, 7372800, 54,18,partition 1, 7.242560, 6.510752, 1.407840
960, 1769.472,   0.501,     15.605,  16.049,819200,22118400, 7372800, 54,18,partition 2, 8.379680, 6.211648, 1.457600
stopdiff: -0.885664
960, 1769.472,   0.616,     15.508,  15.951,819200,22118400, 7372800, 54,18,partition 1, 7.206400, 6.453536, 1.405376
960, 1769.472,   0.616,     15.508,  15.951,819200,22118400, 7372800, 54,18,partition 2, 8.286112, 6.211200, 1.453664
stopdiff: -0.887072
960, 1769.472,   0.545,     15.544,  15.988,819200,22118400, 7372800, 54,18,partition 1, 7.268288, 6.425376, 1.406944
960, 1769.472,   0.545,     15.544,  15.988,819200,22118400, 7372800, 54,18,partition 2, 8.323744, 6.206656, 1.457280
stopdiff: -0.886176
960, 1769.472,   0.470,     15.600,  16.043,819200,22118400, 7372800, 54,18,partition 1, 7.221792, 6.521664, 1.413280
960, 1769.472,   0.470,     15.600,  16.043,819200,22118400, 7372800, 54,18,partition 2, 8.362656, 6.203328, 1.476928
stopdiff: -0.886688
960, 1769.472,   0.530,     15.703,  16.147,819200,22118400, 7372800, 54,18,partition 1, 7.216480, 6.619584, 1.423936
960, 1769.472,   0.530,     15.703,  16.147,819200,22118400, 7372800, 54,18,partition 2, 8.467136, 6.223008, 1.456544
stopdiff: -0.887360
960, 1769.472,   0.477,     15.470,  15.914,819200,22118400, 7372800, 54,18,partition 1, 7.171872, 6.449280, 1.405504
960, 1769.472,   0.477,     15.470,  15.914,819200,22118400, 7372800, 54,18,partition 2, 8.251392, 6.208384, 1.454240
stopdiff: -0.885600
960, 1769.472,   0.467,     15.540,  15.983,819200,22118400, 7372800, 54,18,partition 1, 7.241312, 6.450752, 1.404864
960, 1769.472,   0.467,     15.540,  15.983,819200,22118400, 7372800, 54,18,partition 2, 8.312320, 6.211904, 1.458304
stopdiff: -0.887648
960, 1769.472,   0.528,     15.538,  15.982,819200,22118400, 7372800, 54,18,partition 1, 7.259616, 6.424096, 1.410432
960, 1769.472,   0.528,     15.538,  15.982,819200,22118400, 7372800, 54,18,partition 2, 8.305888, 6.204000, 1.471904
stopdiff: -0.888128
960, 1769.472,   0.779,     15.563,  16.007,819200,22118400, 7372800, 54,18,partition 1, 7.279968, 6.425504, 1.413600
960, 1769.472,   0.779,     15.563,  16.007,819200,22118400, 7372800, 54,18,partition 2, 8.327232, 6.209856, 1.470112
stopdiff: -0.874144
960, 1769.472,   0.474,     15.522,  15.959,819200,22118400, 7372800, 54,18,partition 1, 7.234528, 6.431168, 1.419200
960, 1769.472,   0.474,     15.522,  15.959,819200,22118400, 7372800, 54,18,partition 2, 8.284384, 6.219680, 1.454976
stopdiff: -0.886752
960, 1769.472,   0.498,     15.600,  16.043,819200,22118400, 7372800, 54,18,partition 1, 7.223776, 6.520128, 1.412768
960, 1769.472,   0.498,     15.600,  16.043,819200,22118400, 7372800, 54,18,partition 2, 8.368672, 6.213920, 1.460832
stopdiff: -0.879360
960, 1769.472,   0.528,     15.549,  15.988,819200,22118400, 7372800, 54,18,partition 1, 7.226016, 6.472640, 1.410432
960, 1769.472,   0.528,     15.549,  15.988,819200,22118400, 7372800, 54,18,partition 2, 8.321760, 6.217312, 1.449376
stopdiff: -0.878848
960, 1769.472,   0.470,     15.561,  16.000,819200,22118400, 7372800, 54,18,partition 1, 7.253056, 6.447168, 1.421088
960, 1769.472,   0.470,     15.561,  16.000,819200,22118400, 7372800, 54,18,partition 2, 8.332384, 6.208544, 1.459232
stopdiff: -0.879520
960, 1769.472,   0.463,     15.472,  15.912,819200,22118400, 7372800, 54,18,partition 1, 7.208320, 6.411968, 1.412448
960, 1769.472,   0.463,     15.472,  15.912,819200,22118400, 7372800, 54,18,partition 2, 8.244096, 6.196896, 1.471264
stopdiff: -0.887488
960, 1769.472,   0.605,     15.606,  16.050,819200,22118400, 7372800, 54,18,partition 1, 7.224480, 6.527136, 1.410816
960, 1769.472,   0.605,     15.606,  16.050,819200,22118400, 7372800, 54,18,partition 2, 8.377120, 6.211936, 1.460864
stopdiff: -0.886144
960, 1769.472,   0.583,     15.546,  15.989,819200,22118400, 7372800, 54,18,partition 1, 7.230336, 6.453440, 1.419456
960, 1769.472,   0.583,     15.546,  15.989,819200,22118400, 7372800, 54,18,partition 2, 8.305920, 6.220160, 1.463296
stopdiff: -0.886848
960, 1769.472,   0.544,     15.547,  15.990,819200,22118400, 7372800, 54,18,partition 1, 7.222880, 6.481344, 1.399264
960, 1769.472,   0.544,     15.547,  15.990,819200,22118400, 7372800, 54,18,partition 2, 8.322528, 6.205952, 1.461856
stopdiff: -0.873184
960, 1769.472,   0.594,     15.545,  15.981,819200,22118400, 7372800, 54,18,partition 1, 7.246112, 6.446464, 1.415616
960, 1769.472,   0.594,     15.545,  15.981,819200,22118400, 7372800, 54,18,partition 2, 8.315072, 6.211872, 1.454432
stopdiff: -0.880736
960, 1769.472,   0.473,     15.582,  16.022,819200,22118400, 7372800, 54,18,partition 1, 7.212384, 6.502784, 1.426496
960, 1769.472,   0.473,     15.582,  16.022,819200,22118400, 7372800, 54,18,partition 2, 8.349984, 6.219104, 1.453312
stopdiff: -0.878944
960, 1769.472,   0.520,     15.522,  15.961,819200,22118400, 7372800, 54,18,partition 1, 7.213504, 6.452800, 1.415744
960, 1769.472,   0.520,     15.522,  15.961,819200,22118400, 7372800, 54,18,partition 2, 8.293920, 6.227584, 1.439488
stopdiff: -0.874368
960, 1769.472,   0.551,     15.480,  15.917,819200,22118400, 7372800, 54,18,partition 1, 7.212000, 6.414176, 1.416704
960, 1769.472,   0.551,     15.480,  15.917,819200,22118400, 7372800, 54,18,partition 2, 8.258752, 6.207040, 1.451456
stopdiff: -0.887488
960, 1769.472,   0.584,     15.586,  16.029,819200,22118400, 7372800, 54,18,partition 1, 7.239264, 6.492768, 1.409952
960, 1769.472,   0.584,     15.586,  16.029,819200,22118400, 7372800, 54,18,partition 2, 8.368000, 6.202144, 1.459328
stopdiff: -0.880384
960, 1769.472,   0.587,     15.520,  15.961,819200,22118400, 7372800, 54,18,partition 1, 7.204832, 6.457920, 1.417408
960, 1769.472,   0.587,     15.520,  15.961,819200,22118400, 7372800, 54,18,partition 2, 8.280768, 6.206880, 1.472896
stopdiff: -0.885920
960, 1769.472,   0.585,     15.516,  15.959,819200,22118400, 7372800, 54,18,partition 1, 7.215328, 6.449248, 1.408640
960, 1769.472,   0.585,     15.516,  15.959,819200,22118400, 7372800, 54,18,partition 2, 8.298720, 6.203232, 1.457184
stopdiff: -0.887328
960, 1769.472,   0.526,     15.460,  15.904,819200,22118400, 7372800, 54,18,partition 1, 7.156480, 6.444928, 1.415360
960, 1769.472,   0.526,     15.460,  15.904,819200,22118400, 7372800, 54,18,partition 2, 8.231744, 6.210944, 1.461408
stopdiff: -0.881184
960, 1769.472,   0.580,     15.572,  16.013,819200,22118400, 7372800, 54,18,partition 1, 7.212384, 6.509632, 1.409728
960, 1769.472,   0.580,     15.572,  16.013,819200,22118400, 7372800, 54,18,partition 2, 8.344704, 6.201472, 1.466752
stopdiff: -0.886592
960, 1769.472,   0.570,     15.547,  15.990,819200,22118400, 7372800, 54,18,partition 1, 7.217280, 6.475040, 1.411136
960, 1769.472,   0.570,     15.547,  15.990,819200,22118400, 7372800, 54,18,partition 2, 8.315424, 6.215424, 1.459200
stopdiff: -0.880896
960, 1769.472,   0.639,     15.481,  15.921,819200,22118400, 7372800, 54,18,partition 1, 7.203360, 6.423456, 1.413248
960, 1769.472,   0.639,     15.481,  15.921,819200,22118400, 7372800, 54,18,partition 2, 8.245536, 6.217248, 1.458176
stopdiff: -0.881568
960, 1769.472,   0.581,     15.321,  15.762,819200,22118400, 7372800, 54,18,partition 1, 7.224832, 6.240864, 1.414368
960, 1769.472,   0.581,     15.321,  15.762,819200,22118400, 7372800, 54,18,partition 2, 8.088576, 6.201344, 1.471712
stopdiff: -0.874144
960, 1769.472,   0.463,     15.594,  16.031,819200,22118400, 7372800, 54,18,partition 1, 7.221024, 6.516800, 1.419136
960, 1769.472,   0.463,     15.594,  16.031,819200,22118400, 7372800, 54,18,partition 2, 8.358464, 6.203264, 1.469376
stopdiff: -0.886144
960, 1769.472,   0.492,     15.527,  15.970,819200,22118400, 7372800, 54,18,partition 1, 7.213728, 6.463840, 1.406336
