#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
2880, 47775.744,   0.808,    234.090, 237.941,7372800,199065600, 66355200, 54,18,partition 1, 56.970848, 161.146591, 12.121216
2880, 47775.744,   0.808,    234.090, 237.941,7372800,199065600, 66355200, 54,18,partition 2, 64.082848, 161.124283, 19.823521
2880, 47775.744,   0.411,    235.070, 238.921,7372800,199065600, 66355200, 54,18,partition 1, 57.606495, 161.493500, 12.118688
2880, 47775.744,   0.411,    235.070, 238.921,7372800,199065600, 66355200, 54,18,partition 2, 64.737411, 161.257370, 19.821377
2880, 47775.744,   0.588,    235.611, 239.462,7372800,199065600, 66355200, 54,18,partition 1, 58.374241, 161.266693, 12.118272
2880, 47775.744,   0.588,    235.611, 239.462,7372800,199065600, 66355200, 54,18,partition 2, 65.317986, 161.549606, 19.820896
2880, 47775.744,   0.429,    234.675, 238.526,7372800,199065600, 66355200, 54,18,partition 1, 57.231487, 161.469116, 12.122912
2880, 47775.744,   0.429,    234.675, 238.526,7372800,199065600, 66355200, 54,18,partition 2, 64.085533, 161.311035, 19.825056
2880, 47775.744,   0.480,    235.475, 239.326,7372800,199065600, 66355200, 54,18,partition 1, 57.870304, 161.628281, 12.125056
2880, 47775.744,   0.480,    235.475, 239.326,7372800,199065600, 66355200, 54,18,partition 2, 64.784386, 161.285828, 19.827328
2880, 47775.744,   0.460,    234.504, 238.356,7372800,199065600, 66355200, 54,18,partition 1, 57.277664, 161.255493, 12.120000
2880, 47775.744,   0.460,    234.504, 238.356,7372800,199065600, 66355200, 54,18,partition 2, 64.112579, 161.445343, 19.822369
2880, 47775.744,   0.427,    235.007, 238.858,7372800,199065600, 66355200, 54,18,partition 1, 57.758049, 161.276001, 12.121888
2880, 47775.744,   0.427,    235.007, 238.858,7372800,199065600, 66355200, 54,18,partition 2, 64.697693, 161.234726, 19.824320
2880, 47775.744,   0.596,    235.965, 239.816,7372800,199065600, 66355200, 54,18,partition 1, 58.448353, 161.542694, 12.122784
2880, 47775.744,   0.596,    235.965, 239.816,7372800,199065600, 66355200, 54,18,partition 2, 65.240189, 161.506332, 19.824703
2880, 47775.744,   0.438,    235.041, 238.892,7372800,199065600, 66355200, 54,18,partition 1, 57.760704, 161.304733, 12.124032
2880, 47775.744,   0.438,    235.041, 238.892,7372800,199065600, 66355200, 54,18,partition 2, 64.696510, 161.296478, 19.826431
2880, 47775.744,   0.522,    235.823, 239.674,7372800,199065600, 66355200, 54,18,partition 1, 58.489246, 161.357788, 12.124576
2880, 47775.744,   0.522,    235.823, 239.674,7372800,199065600, 66355200, 54,18,partition 2, 65.284737, 161.494751, 19.827007
2880, 47775.744,   0.492,    235.024, 238.875,7372800,199065600, 66355200, 54,18,partition 1, 57.770527, 161.285248, 12.117408
2880, 47775.744,   0.492,    235.024, 238.875,7372800,199065600, 66355200, 54,18,partition 2, 64.616226, 161.395432, 19.819649
2880, 47775.744,   0.479,    235.343, 239.195,7372800,199065600, 66355200, 54,18,partition 1, 57.865471, 161.508377, 12.118144
2880, 47775.744,   0.479,    235.343, 239.195,7372800,199065600, 66355200, 54,18,partition 2, 64.700195, 161.126724, 19.820704
2880, 47775.744,   0.544,    235.331, 239.182,7372800,199065600, 66355200, 54,18,partition 1, 57.977886, 161.373383, 12.128608
2880, 47775.744,   0.544,    235.331, 239.182,7372800,199065600, 66355200, 54,18,partition 2, 64.656578, 161.215363, 19.830784
2880, 47775.744,   0.431,    235.706, 239.557,7372800,199065600, 66355200, 54,18,partition 1, 57.848225, 161.880890, 12.125600
2880, 47775.744,   0.431,    235.706, 239.557,7372800,199065600, 66355200, 54,18,partition 2, 64.794243, 161.605118, 19.828159
2880, 47775.744,   0.478,    234.938, 238.789,7372800,199065600, 66355200, 54,18,partition 1, 57.785217, 161.179779, 12.121344
2880, 47775.744,   0.478,    234.938, 238.789,7372800,199065600, 66355200, 54,18,partition 2, 64.630814, 161.182053, 19.823744
2880, 47775.744,   0.443,    234.948, 238.800,7372800,199065600, 66355200, 54,18,partition 1, 57.812096, 161.161880, 12.122656
2880, 47775.744,   0.443,    234.948, 238.800,7372800,199065600, 66355200, 54,18,partition 2, 64.688477, 161.220383, 19.825727
2880, 47775.744,   0.562,    235.371, 239.221,7372800,199065600, 66355200, 54,18,partition 1, 57.820766, 161.576035, 12.122848
2880, 47775.744,   0.562,    235.371, 239.221,7372800,199065600, 66355200, 54,18,partition 2, 64.650589, 161.215942, 19.824640
2880, 47775.744,   0.427,    234.343, 238.195,7372800,199065600, 66355200, 54,18,partition 1, 57.264576, 161.101379, 12.126112
2880, 47775.744,   0.427,    234.343, 238.195,7372800,199065600, 66355200, 54,18,partition 2, 64.115936, 161.272095, 19.828896
2880, 47775.744,   0.444,    235.441, 239.292,7372800,199065600, 66355200, 54,18,partition 1, 57.848801, 161.620605, 12.120704
2880, 47775.744,   0.444,    235.441, 239.292,7372800,199065600, 66355200, 54,18,partition 2, 64.721283, 161.291016, 19.822657
2880, 47775.744,   0.592,    234.472, 238.323,7372800,199065600, 66355200, 54,18,partition 1, 57.314049, 161.182266, 12.124320
2880, 47775.744,   0.592,    234.472, 238.323,7372800,199065600, 66355200, 54,18,partition 2, 64.130493, 161.619034, 19.826336
2880, 47775.744,   0.419,    235.902, 239.754,7372800,199065600, 66355200, 54,18,partition 1, 58.366016, 161.561157, 12.124032
2880, 47775.744,   0.419,    235.902, 239.754,7372800,199065600, 66355200, 54,18,partition 2, 65.328415, 161.186432, 19.826496
2880, 47775.744,   0.518,    234.929, 238.780,7372800,199065600, 66355200, 54,18,partition 1, 57.790817, 161.163971, 12.123136
2880, 47775.744,   0.518,    234.929, 238.780,7372800,199065600, 66355200, 54,18,partition 2, 64.639069, 161.195709, 19.825216
2880, 47775.744,   0.569,    235.122, 238.973,7372800,199065600, 66355200, 54,18,partition 1, 57.852959, 161.295364, 12.122368
2880, 47775.744,   0.569,    235.122, 238.973,7372800,199065600, 66355200, 54,18,partition 2, 64.712959, 161.707840, 19.824991
2880, 47775.744,   0.517,    234.598, 238.448,7372800,199065600, 66355200, 54,18,partition 1, 57.444386, 161.178558, 12.123680
2880, 47775.744,   0.517,    234.598, 238.448,7372800,199065600, 66355200, 54,18,partition 2, 64.247330, 161.194366, 19.825537
2880, 47775.744,   0.449,    235.010, 238.861,7372800,199065600, 66355200, 54,18,partition 1, 57.795807, 161.240387, 12.122784
2880, 47775.744,   0.449,    235.010, 238.861,7372800,199065600, 66355200, 54,18,partition 2, 64.655487, 161.300964, 19.824928
2880, 47775.744,   0.425,    235.152, 239.003,7372800,199065600, 66355200, 54,18,partition 1, 57.803745, 161.374847, 12.122336
2880, 47775.744,   0.425,    235.152, 239.003,7372800,199065600, 66355200, 54,18,partition 2, 64.750175, 161.325317, 19.824287
2880, 47775.744,   0.428,    235.011, 238.862,7372800,199065600, 66355200, 54,18,partition 1, 57.833599, 161.209061, 12.116768
2880, 47775.744,   0.428,    235.011, 238.862,7372800,199065600, 66355200, 54,18,partition 2, 64.679039, 161.287109, 19.819201
2880, 47775.744,   0.463,    235.113, 238.965,7372800,199065600, 66355200, 54,18,partition 1, 57.861439, 161.277084, 12.123456
2880, 47775.744,   0.463,    235.113, 238.965,7372800,199065600, 66355200, 54,18,partition 2, 64.749084, 161.674683, 19.826241
2880, 47775.744,   0.533,    235.686, 239.538,7372800,199065600, 66355200, 54,18,partition 1, 58.170399, 161.541656, 12.123040
2880, 47775.744,   0.533,    235.686, 239.538,7372800,199065600, 66355200, 54,18,partition 2, 65.351677, 161.257370, 19.825697
2880, 47775.744,   0.576,    235.051, 238.902,7372800,199065600, 66355200, 54,18,partition 1, 57.780479, 161.297119, 12.122240
2880, 47775.744,   0.576,    235.051, 238.902,7372800,199065600, 66355200, 54,18,partition 2, 64.727524, 161.148071, 19.824575
2880, 47775.744,   0.457,    235.071, 238.922,7372800,199065600, 66355200, 54,18,partition 1, 57.805984, 161.294785, 12.118912
2880, 47775.744,   0.457,    235.071, 238.922,7372800,199065600, 66355200, 54,18,partition 2, 64.669250, 161.158981, 19.821535
2880, 47775.744,   0.436,    235.013, 238.864,7372800,199065600, 66355200, 54,18,partition 1, 57.799297, 161.235931, 12.126496
2880, 47775.744,   0.436,    235.013, 238.864,7372800,199065600, 66355200, 54,18,partition 2, 64.638947, 161.464737, 19.829151
2880, 47775.744,   0.447,    235.450, 239.301,7372800,199065600, 66355200, 54,18,partition 1, 57.841984, 161.636932, 12.119680
2880, 47775.744,   0.447,    235.450, 239.301,7372800,199065600, 66355200, 54,18,partition 2, 64.685471, 161.420959, 19.822304
2880, 47775.744,   0.424,    235.070, 238.921,7372800,199065600, 66355200, 54,18,partition 1, 57.812927, 161.282913, 12.122656
2880, 47775.744,   0.424,    235.070, 238.921,7372800,199065600, 66355200, 54,18,partition 2, 64.641502, 161.312378, 19.825409
2880, 47775.744,   0.484,    235.036, 238.888,7372800,199065600, 66355200, 54,18,partition 1, 57.771969, 161.293182, 12.119808
2880, 47775.744,   0.484,    235.036, 238.888,7372800,199065600, 66355200, 54,18,partition 2, 64.601982, 161.399460, 19.822529
2880, 47775.744,   0.502,    235.199, 239.051,7372800,199065600, 66355200, 54,18,partition 1, 57.829502, 161.396378, 12.121760
2880, 47775.744,   0.502,    235.199, 239.051,7372800,199065600, 66355200, 54,18,partition 2, 64.673409, 161.474625, 19.824928
2880, 47775.744,   0.565,    235.710, 239.561,7372800,199065600, 66355200, 54,18,partition 1, 58.324287, 161.417084, 12.117376
2880, 47775.744,   0.565,    235.710, 239.561,7372800,199065600, 66355200, 54,18,partition 2, 65.287521, 161.290756, 19.819649
2880, 47775.744,   0.529,    235.159, 239.010,7372800,199065600, 66355200, 54,18,partition 1, 57.751137, 161.434525, 12.121760
2880, 47775.744,   0.529,    235.159, 239.010,7372800,199065600, 66355200, 54,18,partition 2, 64.675041, 161.184509, 19.824064
2880, 47775.744,   0.453,    235.013, 238.864,7372800,199065600, 66355200, 54,18,partition 1, 57.771553, 161.268860, 12.121440
2880, 47775.744,   0.453,    235.013, 238.864,7372800,199065600, 66355200, 54,18,partition 2, 64.614815, 161.548508, 19.823423
2880, 47775.744,   0.455,    235.729, 239.580,7372800,199065600, 66355200, 54,18,partition 1, 58.466785, 161.287964, 12.123776
2880, 47775.744,   0.455,    235.729, 239.580,7372800,199065600, 66355200, 54,18,partition 2, 65.332161, 161.383453, 19.825697
2880, 47775.744,   0.471,    235.079, 238.930,7372800,199065600, 66355200, 54,18,partition 1, 57.799839, 161.306015, 12.121600
2880, 47775.744,   0.471,    235.079, 238.930,7372800,199065600, 66355200, 54,18,partition 2, 64.632126, 161.424637, 19.823744
2880, 47775.744,   0.433,    235.211, 239.062,7372800,199065600, 66355200, 54,18,partition 1, 57.847137, 161.390366, 12.122656
2880, 47775.744,   0.433,    235.211, 239.062,7372800,199065600, 66355200, 54,18,partition 2, 64.653564, 161.727005, 19.824640
2880, 47775.744,   0.575,    235.035, 238.886,7372800,199065600, 66355200, 54,18,partition 1, 57.806496, 161.255707, 12.121984
2880, 47775.744,   0.575,    235.035, 238.886,7372800,199065600, 66355200, 54,18,partition 2, 64.657600, 161.324417, 19.823809
2880, 47775.744,   0.550,    235.367, 239.218,7372800,199065600, 66355200, 54,18,partition 1, 57.856480, 161.540573, 12.119104
2880, 47775.744,   0.550,    235.367, 239.218,7372800,199065600, 66355200, 54,18,partition 2, 64.690849, 161.113312, 19.821024
2880, 47775.744,   0.478,    235.228, 239.079,7372800,199065600, 66355200, 54,18,partition 1, 57.976959, 161.269562, 12.130816
2880, 47775.744,   0.478,    235.228, 239.079,7372800,199065600, 66355200, 54,18,partition 2, 64.846275, 161.533310, 19.832960
2880, 47775.744,   0.453,    235.652, 239.503,7372800,199065600, 66355200, 54,18,partition 1, 58.384159, 161.295807, 12.121344
2880, 47775.744,   0.453,    235.652, 239.503,7372800,199065600, 66355200, 54,18,partition 2, 65.311203, 161.290527, 19.823423
2880, 47775.744,   0.467,    235.041, 238.892,7372800,199065600, 66355200, 54,18,partition 1, 57.837250, 161.231232, 12.121664
2880, 47775.744,   0.467,    235.041, 238.892,7372800,199065600, 66355200, 54,18,partition 2, 64.667267, 161.448517, 19.823488
2880, 47775.744,   0.508,    235.067, 238.919,7372800,199065600, 66355200, 54,18,partition 1, 57.836254, 161.256454, 12.123488
2880, 47775.744,   0.508,    235.067, 238.919,7372800,199065600, 66355200, 54,18,partition 2, 64.683327, 161.260193, 19.826015
2880, 47775.744,   0.421,    235.457, 239.308,7372800,199065600, 66355200, 54,18,partition 1, 57.888161, 161.585190, 12.132864
2880, 47775.744,   0.421,    235.457, 239.308,7372800,199065600, 66355200, 54,18,partition 2, 64.694557, 161.591934, 19.835104
2880, 47775.744,   0.432,    235.792, 239.651,7372800,199065600, 66355200, 54,18,partition 1, 58.515007, 161.264069, 12.154240
2880, 47775.744,   0.432,    235.792, 239.651,7372800,199065600, 66355200, 54,18,partition 2, 65.328384, 161.273315, 19.871456
2880, 47775.744,   0.435,    235.064, 238.927,7372800,199065600, 66355200, 54,18,partition 1, 57.801727, 161.276672, 12.122720
2880, 47775.744,   0.435,    235.064, 238.927,7372800,199065600, 66355200, 54,18,partition 2, 64.628029, 161.931641, 19.849056
2880, 47775.744,   0.528,    234.959, 238.810,7372800,199065600, 66355200, 54,18,partition 1, 57.758785, 161.225403, 12.123680
2880, 47775.744,   0.528,    234.959, 238.810,7372800,199065600, 66355200, 54,18,partition 2, 64.628189, 161.286301, 19.826113
2880, 47775.744,   0.451,    235.579, 239.431,7372800,199065600, 66355200, 54,18,partition 1, 57.792706, 161.816956, 12.118304
2880, 47775.744,   0.451,    235.579, 239.431,7372800,199065600, 66355200, 54,18,partition 2, 64.637794, 161.291931, 19.821280
2880, 47775.744,   0.559,    235.546, 239.397,7372800,199065600, 66355200, 54,18,partition 1, 58.407040, 161.169022, 12.118944
2880, 47775.744,   0.559,    235.546, 239.397,7372800,199065600, 66355200, 54,18,partition 2, 65.355873, 161.249893, 19.821024
2880, 47775.744,   0.558,    235.078, 238.929,7372800,199065600, 66355200, 54,18,partition 1, 57.821918, 161.283997, 12.120928
2880, 47775.744,   0.558,    235.078, 238.929,7372800,199065600, 66355200, 54,18,partition 2, 64.683746, 161.563614, 19.822975
2880, 47775.744,   0.557,    235.444, 239.295,7372800,199065600, 66355200, 54,18,partition 1, 57.859585, 161.610107, 12.123136
2880, 47775.744,   0.557,    235.444, 239.295,7372800,199065600, 66355200, 54,18,partition 2, 64.833603, 161.614975, 19.825760
2880, 47775.744,   0.598,    235.479, 239.330,7372800,199065600, 66355200, 54,18,partition 1, 58.348095, 161.150787, 12.129280
2880, 47775.744,   0.598,    235.479, 239.330,7372800,199065600, 66355200, 54,18,partition 2, 65.275932, 161.291016, 19.831392
2880, 47775.744,   0.443,    234.533, 238.384,7372800,199065600, 66355200, 54,18,partition 1, 57.372448, 161.189499, 12.120384
2880, 47775.744,   0.443,    234.533, 238.384,7372800,199065600, 66355200, 54,18,partition 2, 64.199005, 161.327774, 19.822496
2880, 47775.744,   0.420,    234.965, 238.816,7372800,199065600, 66355200, 54,18,partition 1, 57.787136, 161.203674, 12.122624
2880, 47775.744,   0.420,    234.965, 238.816,7372800,199065600, 66355200, 54,18,partition 2, 64.639038, 161.662598, 19.824768
2880, 47775.744,   0.542,    235.005, 238.856,7372800,199065600, 66355200, 54,18,partition 1, 57.854881, 161.174789, 12.123808
2880, 47775.744,   0.542,    235.005, 238.856,7372800,199065600, 66355200, 54,18,partition 2, 64.801025, 161.434082, 19.826143
2880, 47775.744,   0.431,    235.509, 239.360,7372800,199065600, 66355200, 54,18,partition 1, 58.394272, 161.139267, 12.123968
2880, 47775.744,   0.431,    235.509, 239.360,7372800,199065600, 66355200, 54,18,partition 2, 65.267326, 161.917252, 19.826208
2880, 47775.744,   0.511,    235.218, 239.069,7372800,199065600, 66355200, 54,18,partition 1, 58.054176, 161.193634, 12.119552
2880, 47775.744,   0.511,    235.218, 239.069,7372800,199065600, 66355200, 54,18,partition 2, 64.735039, 161.424698, 19.821472
2880, 47775.744,   0.507,    234.903, 238.755,7372800,199065600, 66355200, 54,18,partition 1, 57.808033, 161.124771, 12.119200
2880, 47775.744,   0.507,    234.903, 238.755,7372800,199065600, 66355200, 54,18,partition 2, 64.684578, 161.365219, 19.821695
2880, 47775.744,   0.425,    235.096, 238.947,7372800,199065600, 66355200, 54,18,partition 1, 57.826912, 161.297211, 12.121248
2880, 47775.744,   0.425,    235.096, 238.947,7372800,199065600, 66355200, 54,18,partition 2, 64.671875, 161.663651, 19.823360
2880, 47775.744,   0.498,    235.069, 238.921,7372800,199065600, 66355200, 54,18,partition 1, 57.841217, 161.258118, 12.119072
2880, 47775.744,   0.498,    235.069, 238.921,7372800,199065600, 66355200, 54,18,partition 2, 64.682205, 161.488129, 19.821184
