#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
128,   4.194,   0.906,      1.365,   1.366,131072,393216, 131072, 6,2,partition 1, 0.529376, 0.364960, 0.472032
128,   4.194,   0.906,      1.365,   1.366,131072,393216, 131072, 6,2,partition 2, 1.052864, 0.184192, 0.127200
128,   4.194,   0.542,      0.816,   0.817,131072,393216, 131072, 6,2,partition 1, 0.206176, 0.169536, 0.441728
128,   4.194,   0.542,      0.816,   0.817,131072,393216, 131072, 6,2,partition 2, 0.462368, 0.246720, 0.106208
128,   4.194,   0.508,      0.711,   0.712,131072,393216, 131072, 6,2,partition 1, 0.192032, 0.191520, 0.328896
128,   4.194,   0.508,      0.711,   0.712,131072,393216, 131072, 6,2,partition 2, 0.466528, 0.197824, 0.045984
128,   4.194,   0.492,      0.742,   0.743,131072,393216, 131072, 6,2,partition 1, 0.195680, 0.142944, 0.404576
128,   4.194,   0.492,      0.742,   0.743,131072,393216, 131072, 6,2,partition 2, 0.448224, 0.197344, 0.095488
128,   4.194,   0.338,      0.539,   0.540,131072,393216, 131072, 6,2,partition 1, 0.194496, 0.136608, 0.209344
128,   4.194,   0.338,      0.539,   0.540,131072,393216, 131072, 6,2,partition 2, 0.362048, 0.133760, 0.042496
256,  33.554,   0.524,      1.114,   1.158,131072,1572864, 524288, 24,8,partition 1, 0.620384, 0.186624, 0.261952
256,  33.554,   0.524,      1.114,   1.158,131072,1572864, 524288, 24,8,partition 2, 0.728608, 0.304160, 0.125472
256,  33.554,   0.527,      1.078,   1.122,131072,1572864, 524288, 24,8,partition 1, 0.450944, 0.268384, 0.313536
256,  33.554,   0.527,      1.078,   1.122,131072,1572864, 524288, 24,8,partition 2, 0.695040, 0.329312, 0.097824
256,  33.554,   0.570,      1.118,   1.163,131072,1572864, 524288, 24,8,partition 1, 0.622240, 0.191360, 0.259744
256,  33.554,   0.570,      1.118,   1.163,131072,1572864, 524288, 24,8,partition 2, 0.737376, 0.314848, 0.110912
256,  33.554,   0.556,      1.196,   1.208,131072,1572864, 524288, 24,8,partition 1, 0.556320, 0.195872, 0.456288
256,  33.554,   0.556,      1.196,   1.208,131072,1572864, 524288, 24,8,partition 2, 0.762656, 0.302912, 0.118560
256,  33.554,   0.503,      1.033,   1.086,131072,1572864, 524288, 24,8,partition 1, 0.619648, 0.192832, 0.166464
256,  33.554,   0.503,      1.033,   1.086,131072,1572864, 524288, 24,8,partition 2, 0.662720, 0.329376, 0.094368
384, 113.246,   0.535,      2.086,   2.186,131072,3538944, 1179648, 54,18,partition 1, 1.327072, 0.451008, 0.208096
384, 113.246,   0.535,      2.086,   2.186,131072,3538944, 1179648, 54,18,partition 2, 1.353504, 0.443584, 0.389408
384, 113.246,   0.371,      1.733,   2.019,131072,3538944, 1179648, 54,18,partition 1, 0.751104, 0.456480, 0.239200
384, 113.246,   0.371,      1.733,   2.019,131072,3538944, 1179648, 54,18,partition 2, 1.349888, 0.467744, 0.201408
384, 113.246,   0.379,      1.701,   1.978,131072,3538944, 1179648, 54,18,partition 1, 0.708832, 0.481504, 0.233792
384, 113.246,   0.379,      1.701,   1.978,131072,3538944, 1179648, 54,18,partition 2, 1.332544, 0.446816, 0.198560
384, 113.246,   0.321,      1.720,   2.004,131072,3538944, 1179648, 54,18,partition 1, 0.715232, 0.471648, 0.249824
384, 113.246,   0.321,      1.720,   2.004,131072,3538944, 1179648, 54,18,partition 2, 1.360000, 0.439872, 0.203904
384, 113.246,   0.371,      1.756,   2.029,131072,3538944, 1179648, 54,18,partition 1, 0.768896, 0.478592, 0.236192
384, 113.246,   0.371,      1.756,   2.029,131072,3538944, 1179648, 54,18,partition 2, 1.366560, 0.461184, 0.201376
512, 268.435,   0.419,      3.954,   4.129,131072,6291456, 2097152, 96,32,partition 1, 2.360672, 1.078848, 0.689856
512, 268.435,   0.419,      3.954,   4.129,131072,6291456, 2097152, 96,32,partition 2, 2.357408, 1.064608, 0.355936
512, 268.435,   0.332,      3.256,   3.779,131072,6291456, 2097152, 96,32,partition 1, 2.370016, 1.053536, 0.355456
512, 268.435,   0.332,      3.256,   3.779,131072,6291456, 2097152, 96,32,partition 2, 1.228288, 1.143296, 0.360928
512, 268.435,   0.357,      3.228,   3.781,131072,6291456, 2097152, 96,32,partition 1, 2.364704, 1.063712, 0.352544
512, 268.435,   0.357,      3.228,   3.781,131072,6291456, 2097152, 96,32,partition 2, 1.219520, 1.080896, 0.374272
512, 268.435,   0.418,      3.937,   4.113,131072,6291456, 2097152, 96,32,partition 1, 2.372128, 1.066464, 0.674816
512, 268.435,   0.418,      3.937,   4.113,131072,6291456, 2097152, 96,32,partition 2, 2.344736, 1.053504, 0.362240
512, 268.435,   0.529,      3.279,   3.798,131072,6291456, 2097152, 96,32,partition 1, 1.324768, 1.080736, 0.355488
512, 268.435,   0.529,      3.279,   3.798,131072,6291456, 2097152, 96,32,partition 2, 2.387232, 1.050368, 0.360288
640, 524.288,   0.415,      5.913,   6.211,131072,9830400, 3276800, 150,50,partition 1, 3.076832, 1.980416, 0.556512
640, 524.288,   0.415,      5.913,   6.211,131072,9830400, 3276800, 150,50,partition 2, 3.683136, 1.973184, 0.555168
640, 524.288,   0.444,      5.403,   6.294,131072,9830400, 3276800, 150,50,partition 1, 3.674304, 2.070304, 0.549664
