#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
896, 1438.646,   0.818,     10.877,  12.454,6422528,19267584, 6422528, 6,2,partition 1, 3.187936, 5.137664, 0.973440
896, 1438.646,   0.818,     10.877,  12.454,6422528,19267584, 6422528, 6,2,partition 2, 6.340640, 5.135520, 0.977984
896, 1438.646,   0.445,     10.859,  12.424,6422528,19267584, 6422528, 6,2,partition 1, 3.170080, 5.149376, 0.973792
896, 1438.646,   0.445,     10.859,  12.424,6422528,19267584, 6422528, 6,2,partition 2, 6.322496, 5.126528, 0.975296
896, 1438.646,   0.487,     11.901,  12.420,6422528,19267584, 6422528, 6,2,partition 1, 5.272416, 5.139552, 0.969632
896, 1438.646,   0.487,     11.901,  12.420,6422528,19267584, 6422528, 6,2,partition 2, 6.325088, 5.123552, 0.971712
896, 1438.646,   0.433,     10.886,  12.445,6422528,19267584, 6422528, 6,2,partition 1, 3.182976, 5.159360, 0.984192
896, 1438.646,   0.433,     10.886,  12.445,6422528,19267584, 6422528, 6,2,partition 2, 6.331264, 5.140992, 0.973120
896, 1438.646,   0.448,     10.867,  12.442,6422528,19267584, 6422528, 6,2,partition 1, 3.182240, 5.135456, 0.974048
896, 1438.646,   0.448,     10.867,  12.442,6422528,19267584, 6422528, 6,2,partition 2, 6.330592, 5.144512, 0.967136
1792, 11509.170,   0.468,     70.629,  72.569,6422528,77070336, 25690112, 24,8,partition 1, 25.511936, 39.345730, 7.711008
1792, 11509.170,   0.468,     70.629,  72.569,6422528,77070336, 25690112, 24,8,partition 2, 25.522400, 39.307617, 3.859168
1792, 11509.170,   0.448,     70.542,  72.475,6422528,77070336, 25690112, 24,8,partition 1, 25.433887, 39.310081, 3.865280
1792, 11509.170,   0.448,     70.542,  72.475,6422528,77070336, 25690112, 24,8,partition 2, 25.444128, 39.305439, 7.725728
1792, 11509.170,   0.430,     67.705,  69.638,6422528,77070336, 25690112, 24,8,partition 1, 25.449888, 39.255680, 4.932608
1792, 11509.170,   0.430,     67.705,  69.638,6422528,77070336, 25690112, 24,8,partition 2, 22.285152, 39.616161, 3.870912
1792, 11509.170,   0.490,     70.848,  72.777,6422528,77070336, 25690112, 24,8,partition 1, 25.482176, 39.555775, 7.739328
1792, 11509.170,   0.490,     70.848,  72.777,6422528,77070336, 25690112, 24,8,partition 2, 25.492416, 39.543808, 3.882016
1792, 11509.170,   0.453,     70.899,  72.828,6422528,77070336, 25690112, 24,8,partition 1, 25.491903, 39.600449, 3.876352
1792, 11509.170,   0.453,     70.899,  72.828,6422528,77070336, 25690112, 24,8,partition 2, 25.485920, 39.622303, 7.720096
2688, 38843.449,   0.496,    200.988, 202.928,6422528,173408256, 57802752, 54,18,partition 1, 54.112190, 131.420029, 13.515264
2688, 38843.449,   0.496,    200.988, 202.928,6422528,173408256, 57802752, 54,18,partition 2, 57.280895, 131.245926, 14.400832
2688, 38843.449,   0.458,    201.425, 203.358,6422528,173408256, 57802752, 54,18,partition 1, 54.086975, 131.876007, 13.528704
2688, 38843.449,   0.458,    201.425, 203.358,6422528,173408256, 57802752, 54,18,partition 2, 57.261250, 131.189316, 14.907232
2688, 38843.449,   0.440,    200.674, 202.600,6422528,173408256, 57802752, 54,18,partition 1, 53.791489, 131.434082, 13.522304
2688, 38843.449,   0.440,    200.674, 202.600,6422528,173408256, 57802752, 54,18,partition 2, 56.940865, 131.834915, 13.823936
2688, 38843.449,   0.411,    202.153, 204.079,6422528,173408256, 57802752, 54,18,partition 1, 57.345119, 131.355591, 15.378496
2688, 38843.449,   0.411,    202.153, 204.079,6422528,173408256, 57802752, 54,18,partition 2, 55.229473, 131.501465, 13.495584
2688, 38843.449,   0.453,    201.039, 202.973,6422528,173408256, 57802752, 54,18,partition 1, 57.199490, 131.278717, 14.494752
2688, 38843.449,   0.453,    201.039, 202.973,6422528,173408256, 57802752, 54,18,partition 2, 54.035713, 131.574722, 13.495552
3584, 92073.361,   0.443,    442.685, 443.170,6422528,308281344, 102760448, 96,32,partition 1, 101.634018, 310.609619, 29.956032
3584, 92073.361,   0.443,    442.685, 443.170,6422528,308281344, 102760448, 96,32,partition 2, 101.643456, 310.716736, 30.809568
3584, 92073.361,   0.537,    437.295, 440.194,6422528,308281344, 102760448, 96,32,partition 1, 102.046173, 310.579041, 27.568289
3584, 92073.361,   0.537,    437.295, 440.194,6422528,308281344, 102760448, 96,32,partition 2, 98.863586, 310.435150, 25.097216
