#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
512, 268.435,   0.984,      3.365,   3.536,2097152,6291456, 2097152, 6,2,partition 1, 1.781856, 1.083904, 0.328608
512, 268.435,   0.984,      3.365,   3.536,2097152,6291456, 2097152, 6,2,partition 2, 2.145216, 1.069440, 0.321088
512, 268.435,   0.604,      3.358,   3.539,2097152,6291456, 2097152, 6,2,partition 1, 1.775648, 1.076768, 0.324800
512, 268.435,   0.604,      3.358,   3.539,2097152,6291456, 2097152, 6,2,partition 2, 2.140896, 1.070848, 0.327456
512, 268.435,   0.626,      3.355,   3.525,2097152,6291456, 2097152, 6,2,partition 1, 1.778560, 1.078464, 0.328608
512, 268.435,   0.626,      3.355,   3.525,2097152,6291456, 2097152, 6,2,partition 2, 2.139296, 1.062016, 0.323200
512, 268.435,   0.405,      3.404,   3.590,2097152,6291456, 2097152, 6,2,partition 1, 1.839616, 1.054976, 0.324800
512, 268.435,   0.405,      3.404,   3.590,2097152,6291456, 2097152, 6,2,partition 2, 2.196416, 1.068864, 0.324288
512, 268.435,   0.467,      3.410,   3.589,2097152,6291456, 2097152, 6,2,partition 1, 1.848160, 1.057184, 0.324896
512, 268.435,   0.467,      3.410,   3.589,2097152,6291456, 2097152, 6,2,partition 2, 2.211648, 1.056128, 0.321664
1024, 2147.484,   0.455,     18.355,  18.514,2097152,25165824, 8388608, 24,8,partition 1, 8.337440, 7.572928, 2.285536
1024, 2147.484,   0.455,     18.355,  18.514,2097152,25165824, 8388608, 24,8,partition 2, 8.695008, 7.567904, 2.251392
1024, 2147.484,   0.530,     18.374,  18.535,2097152,25165824, 8388608, 24,8,partition 1, 8.357184, 7.566240, 2.289888
1024, 2147.484,   0.530,     18.374,  18.535,2097152,25165824, 8388608, 24,8,partition 2, 8.718336, 7.552288, 2.264640
1024, 2147.484,   0.426,     18.351,  18.510,2097152,25165824, 8388608, 24,8,partition 1, 8.323712, 7.557024, 2.309856
1024, 2147.484,   0.426,     18.351,  18.510,2097152,25165824, 8388608, 24,8,partition 2, 8.682080, 7.565312, 2.263040
1024, 2147.484,   0.536,     18.368,  18.528,2097152,25165824, 8388608, 24,8,partition 1, 8.323776, 7.564320, 2.319328
1024, 2147.484,   0.536,     18.368,  18.528,2097152,25165824, 8388608, 24,8,partition 2, 8.691552, 7.573088, 2.263712
1024, 2147.484,   0.465,     18.346,  18.508,2097152,25165824, 8388608, 24,8,partition 1, 8.324224, 7.559200, 2.299936
1024, 2147.484,   0.465,     18.346,  18.508,2097152,25165824, 8388608, 24,8,partition 2, 8.684384, 7.561152, 2.262752
1536, 7247.757,   0.388,     49.582,  49.741,2097152,56623104, 18874368, 54,18,partition 1, 19.176001, 24.726944, 5.520160
1536, 7247.757,   0.388,     49.582,  49.741,2097152,56623104, 18874368, 54,18,partition 2, 19.551201, 24.717089, 5.472896
1536, 7247.757,   0.379,     50.092,  50.251,2097152,56623104, 18874368, 54,18,partition 1, 19.278368, 25.118113, 5.536160
1536, 7247.757,   0.379,     50.092,  50.251,2097152,56623104, 18874368, 54,18,partition 2, 20.029024, 24.758495, 5.463744
1536, 7247.757,   0.411,     49.877,  50.037,2097152,56623104, 18874368, 54,18,partition 1, 19.242945, 24.952896, 5.522208
1536, 7247.757,   0.411,     49.877,  50.037,2097152,56623104, 18874368, 54,18,partition 2, 19.846432, 24.711136, 5.478976
1536, 7247.757,   0.384,     49.915,  50.074,2097152,56623104, 18874368, 54,18,partition 1, 19.196192, 25.048321, 5.511040
1536, 7247.757,   0.384,     49.915,  50.074,2097152,56623104, 18874368, 54,18,partition 2, 19.877249, 24.720928, 5.475872
1536, 7247.757,   0.368,     49.854,  50.013,2097152,56623104, 18874368, 54,18,partition 1, 19.222656, 24.970913, 5.501568
1536, 7247.757,   0.368,     49.854,  50.013,2097152,56623104, 18874368, 54,18,partition 2, 19.830145, 24.713793, 5.469280
2048, 17179.869,   0.392,    103.437, 103.597,2097152,100663296, 33554432, 96,32,partition 1, 34.541599, 58.699074, 10.037760
2048, 17179.869,   0.392,    103.437, 103.597,2097152,100663296, 33554432, 96,32,partition 2, 35.167648, 58.464287, 9.964608
2048, 17179.869,   0.384,    103.273, 103.432,2097152,100663296, 33554432, 96,32,partition 1, 34.459618, 58.689728, 9.964480
2048, 17179.869,   0.384,    103.273, 103.432,2097152,100663296, 33554432, 96,32,partition 2, 35.061855, 58.411839, 9.958336
2048, 17179.869,   0.405,    103.396, 103.555,2097152,100663296, 33554432, 96,32,partition 1, 34.529919, 58.696095, 10.010016
2048, 17179.869,   0.405,    103.396, 103.555,2097152,100663296, 33554432, 96,32,partition 2, 35.138817, 58.452030, 9.964288
2048, 17179.869,   0.446,    103.326, 103.485,2097152,100663296, 33554432, 96,32,partition 1, 34.476578, 58.690399, 9.999744
2048, 17179.869,   0.446,    103.326, 103.485,2097152,100663296, 33554432, 96,32,partition 2, 35.079712, 58.434784, 9.970368
2048, 17179.869,   0.377,    103.340, 103.499,2097152,100663296, 33554432, 96,32,partition 1, 34.510975, 58.666977, 10.002336
2048, 17179.869,   0.377,    103.340, 103.499,2097152,100663296, 33554432, 96,32,partition 2, 35.112450, 58.431713, 9.954720
2560, 33554.432,   0.375,    184.121, 184.280,2097152,157286400, 52428800, 150,50,partition 1, 54.102367, 113.881378, 15.977856
2560, 33554.432,   0.375,    184.121, 184.280,2097152,157286400, 52428800, 150,50,partition 2, 54.726498, 113.798492, 15.754912
2560, 33554.432,   0.399,    184.122, 184.281,2097152,157286400, 52428800, 150,50,partition 1, 54.096767, 114.111969, 15.754048
2560, 33554.432,   0.399,    184.122, 184.281,2097152,157286400, 52428800, 150,50,partition 2, 54.868446, 113.658401, 15.754048
2560, 33554.432,   0.371,    183.989, 184.148,2097152,157286400, 52428800, 150,50,partition 1, 54.111935, 113.914497, 15.802880
2560, 33554.432,   0.371,    183.989, 184.148,2097152,157286400, 52428800, 150,50,partition 2, 54.743073, 113.658051, 15.746592
2560, 33554.432,   0.424,    184.140, 184.299,2097152,157286400, 52428800, 150,50,partition 1, 54.141281, 113.776611, 16.062624
2560, 33554.432,   0.424,    184.140, 184.299,2097152,157286400, 52428800, 150,50,partition 2, 54.744801, 113.777313, 15.776576
2560, 33554.432,   0.419,    184.270, 184.430,2097152,157286400, 52428800, 150,50,partition 1, 54.320351, 114.041885, 15.748960
2560, 33554.432,   0.419,    184.270, 184.430,2097152,157286400, 52428800, 150,50,partition 2, 54.943649, 113.629982, 15.856032
3072, 57982.058,   0.409,    297.019, 297.178,2097152,226492416, 75497472, 216,72,partition 1, 78.462433, 195.500061, 22.897312
3072, 57982.058,   0.409,    297.019, 297.178,2097152,226492416, 75497472, 216,72,partition 2, 79.073311, 195.271652, 22.833281
3072, 57982.058,   0.551,    296.921, 297.080,2097152,226492416, 75497472, 216,72,partition 1, 78.188637, 195.271515, 23.301409
3072, 57982.058,   0.551,    296.921, 297.080,2097152,226492416, 75497472, 216,72,partition 2, 78.807007, 195.462433, 22.810305
3072, 57982.058,   0.424,    296.677, 296.836,2097152,226492416, 75497472, 216,72,partition 1, 77.991806, 195.450745, 23.075680
3072, 57982.058,   0.424,    296.677, 296.836,2097152,226492416, 75497472, 216,72,partition 2, 78.662590, 195.359772, 22.813984
3072, 57982.058,   0.414,    296.640, 296.800,2097152,226492416, 75497472, 216,72,partition 1, 78.026848, 195.363617, 23.090143
3072, 57982.058,   0.414,    296.640, 296.800,2097152,226492416, 75497472, 216,72,partition 2, 78.630692, 195.341599, 22.827232
3072, 57982.058,   0.401,    297.053, 297.212,2097152,226492416, 75497472, 216,72,partition 1, 78.135490, 195.793884, 22.964128
3072, 57982.058,   0.401,    297.053, 297.212,2097152,226492416, 75497472, 216,72,partition 2, 78.752419, 195.645721, 22.813728
3584, 92073.361,   0.405,    448.613, 448.772,2097152,308281344, 102760448, 294,98,partition 1, 106.457443, 310.681549, 31.314880
3584, 92073.361,   0.405,    448.613, 448.772,2097152,308281344, 102760448, 294,98,partition 2, 107.055069, 310.552155, 31.164961
3584, 92073.361,   0.526,    448.992, 449.151,2097152,308281344, 102760448, 294,98,partition 1, 106.373024, 310.351654, 32.107647
3584, 92073.361,   0.526,    448.992, 449.151,2097152,308281344, 102760448, 294,98,partition 2, 107.000893, 310.985565, 31.164640
3584, 92073.361,   0.403,    448.964, 449.123,2097152,308281344, 102760448, 294,98,partition 1, 106.441154, 310.367157, 31.996992
3584, 92073.361,   0.403,    448.964, 449.123,2097152,308281344, 102760448, 294,98,partition 2, 107.099678, 310.851807, 31.171904
3584, 92073.361,   0.412,    448.899, 449.058,2097152,308281344, 102760448, 294,98,partition 1, 106.407394, 311.142670, 31.189823
3584, 92073.361,   0.412,    448.899, 449.058,2097152,308281344, 102760448, 294,98,partition 2, 107.010979, 310.429810, 31.617537
3584, 92073.361,   0.405,    448.343, 448.502,2097152,308281344, 102760448, 294,98,partition 1, 106.540863, 310.468658, 31.173729
3584, 92073.361,   0.405,    448.343, 448.502,2097152,308281344, 102760448, 294,98,partition 2, 107.151009, 310.103149, 31.247808
4096, 137438.953,   0.496,    644.201, 644.360,2097152,402653184, 134217728, 384,128,partition 1, 139.719452, 462.381836, 41.940514
4096, 137438.953,   0.496,    644.201, 644.360,2097152,402653184, 134217728, 384,128,partition 2, 140.347839, 463.214630, 40.797440
4096, 137438.953,   0.416,    643.617, 643.776,2097152,402653184, 134217728, 384,128,partition 1, 139.114365, 462.852448, 41.490879
4096, 137438.953,   0.416,    643.617, 643.776,2097152,402653184, 134217728, 384,128,partition 2, 139.787262, 463.200500, 40.788479
4096, 137438.953,   0.423,    644.005, 644.164,2097152,402653184, 134217728, 384,128,partition 1, 139.380249, 463.647125, 40.818401
4096, 137438.953,   0.423,    644.005, 644.164,2097152,402653184, 134217728, 384,128,partition 2, 140.004410, 462.785217, 41.374271
4096, 137438.953,   0.501,    643.601, 643.760,2097152,402653184, 134217728, 384,128,partition 1, 139.157913, 463.330597, 40.953602
4096, 137438.953,   0.501,    643.601, 643.760,2097152,402653184, 134217728, 384,128,partition 2, 139.790237, 463.176300, 40.793823
4096, 137438.953,   0.398,    643.376, 643.535,2097152,402653184, 134217728, 384,128,partition 1, 139.275299, 462.372192, 41.569633
4096, 137438.953,   0.398,    643.376, 643.535,2097152,402653184, 134217728, 384,128,partition 2, 139.944260, 462.788086, 40.803074
