#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
896, 1438.646,   0.667,     12.339,  12.340,6422528,19267584, 6422528, 6,2,partition 1, 5.205344, 5.148480, 1.983936
896, 1438.646,   0.667,     12.339,  12.340,6422528,19267584, 6422528, 6,2,partition 2, 6.224224, 5.135136, 0.980384
896, 1438.646,   0.410,     12.348,  12.349,6422528,19267584, 6422528, 6,2,partition 1, 5.222848, 5.136256, 1.987808
896, 1438.646,   0.410,     12.348,  12.349,6422528,19267584, 6422528, 6,2,partition 2, 6.260320, 5.119744, 0.968864
896, 1438.646,   0.495,     12.318,  12.319,6422528,19267584, 6422528, 6,2,partition 1, 5.206944, 5.131232, 1.978912
896, 1438.646,   0.495,     12.318,  12.319,6422528,19267584, 6422528, 6,2,partition 2, 6.223168, 5.123456, 0.972448
896, 1438.646,   0.463,     12.337,  12.338,6422528,19267584, 6422528, 6,2,partition 1, 5.222592, 5.133472, 1.979680
896, 1438.646,   0.463,     12.337,  12.338,6422528,19267584, 6422528, 6,2,partition 2, 6.236032, 5.123360, 0.978336
896, 1438.646,   0.411,     12.318,  12.319,6422528,19267584, 6422528, 6,2,partition 1, 5.207808, 5.133728, 1.975488
896, 1438.646,   0.411,     12.318,  12.319,6422528,19267584, 6422528, 6,2,partition 2, 6.224032, 5.122848, 0.972384
1792, 11509.170,   0.425,     71.023,  71.024,6422528,77070336, 25690112, 24,8,partition 1, 23.879295, 39.309216, 7.833472
1792, 11509.170,   0.425,     71.023,  71.024,6422528,77070336, 25690112, 24,8,partition 2, 24.916512, 39.336575, 6.770880
1792, 11509.170,   0.523,     70.993,  70.994,6422528,77070336, 25690112, 24,8,partition 1, 23.858751, 39.295231, 7.837568
1792, 11509.170,   0.523,     70.993,  70.994,6422528,77070336, 25690112, 24,8,partition 2, 24.884735, 39.323456, 6.785376
1792, 11509.170,   0.601,     71.577,  71.578,6422528,77070336, 25690112, 24,8,partition 1, 24.545696, 39.295486, 7.734368
1792, 11509.170,   0.601,     71.577,  71.578,6422528,77070336, 25690112, 24,8,partition 2, 25.185984, 39.312096, 7.079744
1792, 11509.170,   0.454,     71.360,  71.361,6422528,77070336, 25690112, 24,8,partition 1, 24.338848, 39.305088, 7.715136
1792, 11509.170,   0.454,     71.360,  71.361,6422528,77070336, 25690112, 24,8,partition 2, 24.919041, 39.325504, 7.116800
1792, 11509.170,   0.521,     71.160,  71.161,6422528,77070336, 25690112, 24,8,partition 1, 24.172289, 39.295937, 7.690816
1792, 11509.170,   0.521,     71.160,  71.161,6422528,77070336, 25690112, 24,8,partition 2, 24.889280, 39.281055, 6.990784
2688, 38843.449,   0.414,    204.068, 204.069,6422528,173408256, 57802752, 54,18,partition 1, 55.332642, 131.395874, 17.338240
2688, 38843.449,   0.414,    204.068, 204.069,6422528,173408256, 57802752, 54,18,partition 2, 55.968769, 131.072830, 17.027552
2688, 38843.449,   0.520,    204.847, 204.848,6422528,173408256, 57802752, 54,18,partition 1, 55.742977, 131.688705, 17.413696
2688, 38843.449,   0.520,    204.847, 204.848,6422528,173408256, 57802752, 54,18,partition 2, 56.512768, 131.051743, 17.283327
2688, 38843.449,   0.564,    204.292, 204.294,6422528,173408256, 57802752, 54,18,partition 1, 55.796097, 131.200348, 17.294687
2688, 38843.449,   0.564,    204.292, 204.294,6422528,173408256, 57802752, 54,18,partition 2, 56.577217, 131.060608, 16.655712
2688, 38843.449,   0.416,    204.701, 204.702,6422528,173408256, 57802752, 54,18,partition 1, 55.700928, 131.590973, 17.407969
2688, 38843.449,   0.416,    204.701, 204.702,6422528,173408256, 57802752, 54,18,partition 2, 56.482689, 131.274979, 16.944223
2688, 38843.449,   0.413,    204.327, 204.328,6422528,173408256, 57802752, 54,18,partition 1, 55.815296, 131.212677, 17.297953
2688, 38843.449,   0.413,    204.327, 204.328,6422528,173408256, 57802752, 54,18,partition 2, 56.591679, 131.091614, 16.644608
3584, 92073.361,   0.484,    441.173, 441.174,6422528,308281344, 102760448, 96,32,partition 1, 99.355042, 310.958069, 30.859167
3584, 92073.361,   0.484,    441.173, 441.174,6422528,308281344, 102760448, 96,32,partition 2, 100.131584, 310.812897, 30.229759
3584, 92073.361,   0.531,    441.441, 441.442,6422528,308281344, 102760448, 96,32,partition 1, 100.037788, 310.547791, 30.854080
3584, 92073.361,   0.531,    441.441, 441.442,6422528,308281344, 102760448, 96,32,partition 2, 101.052704, 310.071716, 30.317184
3584, 92073.361,   0.416,    441.585, 441.586,6422528,308281344, 102760448, 96,32,partition 1, 100.209854, 310.522552, 30.851265
3584, 92073.361,   0.416,    441.585, 441.586,6422528,308281344, 102760448, 96,32,partition 2, 101.000511, 310.481079, 30.104033
3584, 92073.361,   0.538,    440.099, 440.100,6422528,308281344, 102760448, 96,32,partition 1, 99.335808, 309.905884, 30.856705
3584, 92073.361,   0.538,    440.099, 440.100,6422528,308281344, 102760448, 96,32,partition 2, 100.101341, 309.924011, 30.075008
3584, 92073.361,   0.410,    440.578, 440.579,6422528,308281344, 102760448, 96,32,partition 1, 99.382591, 310.075287, 31.119232
3584, 92073.361,   0.410,    440.578, 440.579,6422528,308281344, 102760448, 96,32,partition 2, 100.164192, 310.506409, 29.908480
4480, 179830.784,   0.422,    810.837, 810.838,6422528,481689600, 160563200, 150,50,partition 1, 155.796921, 606.771729, 48.267586
