#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
1024, 2147.484,   0.782,     16.518,  17.198,8388608,25165824, 8388608, 6,2,partition 1, 6.976800, 7.589152, 1.271104
1024, 2147.484,   0.782,     16.518,  17.198,8388608,25165824, 8388608, 6,2,partition 2, 8.370496, 7.556096, 1.271808
1024, 2147.484,   0.434,     16.517,  17.216,8388608,25165824, 8388608, 6,2,partition 1, 6.990432, 7.563872, 1.264288
1024, 2147.484,   0.434,     16.517,  17.216,8388608,25165824, 8388608, 6,2,partition 2, 8.380512, 7.557024, 1.278496
1024, 2147.484,   0.488,     16.462,  17.157,8388608,25165824, 8388608, 6,2,partition 1, 6.948544, 7.550400, 1.267904
1024, 2147.484,   0.488,     16.462,  17.157,8388608,25165824, 8388608, 6,2,partition 2, 8.333728, 7.561856, 1.261824
1024, 2147.484,   0.466,     16.553,  17.225,8388608,25165824, 8388608, 6,2,partition 1, 7.031904, 7.579360, 1.269760
1024, 2147.484,   0.466,     16.553,  17.225,8388608,25165824, 8388608, 6,2,partition 2, 8.413472, 7.543712, 1.268000
1024, 2147.484,   0.506,     16.507,  17.185,8388608,25165824, 8388608, 6,2,partition 1, 6.973472, 7.585696, 1.269920
1024, 2147.484,   0.506,     16.507,  17.185,8388608,25165824, 8388608, 6,2,partition 2, 8.355744, 7.549536, 1.279392
2048, 17179.869,   0.432,    100.616, 101.249,8388608,100663296, 33554432, 24,8,partition 1, 32.538849, 58.477951, 8.965920
2048, 17179.869,   0.432,    100.616, 101.249,8388608,100663296, 33554432, 24,8,partition 2, 33.937088, 58.432224, 8.879520
2048, 17179.869,   0.448,    100.971, 101.604,8388608,100663296, 33554432, 24,8,partition 1, 32.549919, 58.818752, 8.969152
2048, 17179.869,   0.448,    100.971, 101.604,8388608,100663296, 33554432, 24,8,partition 2, 34.275585, 58.430431, 8.898400
2048, 17179.869,   0.468,    100.867, 101.506,8388608,100663296, 33554432, 24,8,partition 1, 32.495327, 58.863743, 8.868416
2048, 17179.869,   0.468,    100.867, 101.506,8388608,100663296, 33554432, 24,8,partition 2, 34.128098, 58.434048, 8.944160
2048, 17179.869,   0.515,    100.627, 101.257,8388608,100663296, 33554432, 24,8,partition 1, 32.367744, 58.735039, 8.894048
2048, 17179.869,   0.515,    100.627, 101.257,8388608,100663296, 33554432, 24,8,partition 2, 33.999680, 58.414913, 8.842816
2048, 17179.869,   0.466,    100.774, 101.404,8388608,100663296, 33554432, 24,8,partition 1, 32.482880, 58.777439, 8.882912
2048, 17179.869,   0.466,    100.774, 101.404,8388608,100663296, 33554432, 24,8,partition 2, 34.126686, 58.432575, 8.844640
3072, 57982.058,   0.528,    293.197, 293.827,8388608,226492416, 75497472, 54,18,partition 1, 75.366173, 195.659134, 21.541248
3072, 57982.058,   0.528,    293.197, 293.827,8388608,226492416, 75497472, 54,18,partition 2, 77.057693, 195.147079, 21.622047
3072, 57982.058,   0.581,    292.775, 293.405,8388608,226492416, 75497472, 54,18,partition 1, 75.000801, 195.178589, 21.966400
3072, 57982.058,   0.581,    292.775, 293.405,8388608,226492416, 75497472, 54,18,partition 2, 76.421539, 195.433701, 21.549952
3072, 57982.058,   0.571,    292.938, 293.568,8388608,226492416, 75497472, 54,18,partition 1, 75.230049, 195.465240, 21.612831
3072, 57982.058,   0.571,    292.938, 293.568,8388608,226492416, 75497472, 54,18,partition 2, 76.873795, 195.155167, 21.539104
3072, 57982.058,   0.569,    293.611, 294.241,8388608,226492416, 75497472, 54,18,partition 1, 75.239838, 195.923203, 21.818176
3072, 57982.058,   0.569,    293.611, 294.241,8388608,226492416, 75497472, 54,18,partition 2, 76.875298, 195.827072, 21.538879
3072, 57982.058,   0.579,    293.123, 293.753,8388608,226492416, 75497472, 54,18,partition 1, 75.263229, 195.692734, 21.537024
3072, 57982.058,   0.579,    293.123, 293.753,8388608,226492416, 75497472, 54,18,partition 2, 76.970367, 195.195908, 21.586336
4096, 137438.953,   0.552,    639.102, 639.732,8388608,402653184, 134217728, 96,32,partition 1, 134.968475, 462.525909, 40.978367
4096, 137438.953,   0.552,    639.102, 639.732,8388608,402653184, 134217728, 96,32,partition 2, 136.603806, 463.805054, 39.323296
4096, 137438.953,   0.552,    639.054, 639.684,8388608,402653184, 134217728, 96,32,partition 1, 134.720932, 463.837006, 39.866047
4096, 137438.953,   0.552,    639.054, 639.684,8388608,402653184, 134217728, 96,32,partition 2, 136.409058, 463.948608, 39.326656
4096, 137438.953,   0.563,    639.845, 640.474,8388608,402653184, 134217728, 96,32,partition 1, 134.812195, 463.267853, 41.135105
4096, 137438.953,   0.563,    639.845, 640.474,8388608,402653184, 134217728, 96,32,partition 2, 136.507111, 464.604095, 39.363167
4096, 137438.953,   0.598,    638.283, 638.913,8388608,402653184, 134217728, 96,32,partition 1, 134.974045, 462.822968, 39.856289
4096, 137438.953,   0.598,    638.283, 638.913,8388608,402653184, 134217728, 96,32,partition 2, 136.613159, 462.978088, 39.322113
4096, 137438.953,   0.608,    638.424, 639.054,8388608,402653184, 134217728, 96,32,partition 1, 134.768097, 462.624268, 40.402306
4096, 137438.953,   0.608,    638.424, 639.054,8388608,402653184, 134217728, 96,32,partition 2, 136.187134, 463.533752, 39.332672
