#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
384, 113.246,   1.033,      1.929,   2.024,1179648,3538944, 1179648, 6,2,partition 1, 1.198944, 0.444640, 0.190112
384, 113.246,   1.033,      1.929,   2.024,1179648,3538944, 1179648, 6,2,partition 2, 1.404960, 0.433600, 0.185632
384, 113.246,   0.616,      1.868,   1.965,1179648,3538944, 1179648, 6,2,partition 1, 1.100896, 0.482272, 0.187232
384, 113.246,   0.616,      1.868,   1.965,1179648,3538944, 1179648, 6,2,partition 2, 1.306752, 0.473216, 0.184640
384, 113.246,   0.552,      1.822,   1.923,1179648,3538944, 1179648, 6,2,partition 1, 1.076448, 0.457536, 0.187328
384, 113.246,   0.552,      1.822,   1.923,1179648,3538944, 1179648, 6,2,partition 2, 1.292032, 0.441888, 0.188704
384, 113.246,   0.591,      1.831,   1.929,1179648,3538944, 1179648, 6,2,partition 1, 1.078560, 0.461280, 0.194112
384, 113.246,   0.591,      1.831,   1.929,1179648,3538944, 1179648, 6,2,partition 2, 1.297728, 0.442496, 0.188608
384, 113.246,   0.392,      1.800,   1.898,1179648,3538944, 1179648, 6,2,partition 1, 1.058592, 0.447104, 0.196288
384, 113.246,   0.392,      1.800,   1.898,1179648,3538944, 1179648, 6,2,partition 2, 1.271968, 0.435872, 0.189728
768, 905.970,   0.367,      9.411,   9.502,1179648,14155776, 4718592, 24,8,partition 1, 4.790720, 3.218656, 1.311552
768, 905.970,   0.367,      9.411,   9.502,1179648,14155776, 4718592, 24,8,partition 2, 5.004320, 3.189088, 1.308544
768, 905.970,   0.447,      9.411,   9.505,1179648,14155776, 4718592, 24,8,partition 1, 4.821504, 3.182944, 1.312224
768, 905.970,   0.447,      9.411,   9.505,1179648,14155776, 4718592, 24,8,partition 2, 5.028160, 3.185344, 1.291872
768, 905.970,   0.464,      9.423,   9.516,1179648,14155776, 4718592, 24,8,partition 1, 4.837792, 3.189888, 1.300928
768, 905.970,   0.464,      9.423,   9.516,1179648,14155776, 4718592, 24,8,partition 2, 5.050816, 3.185280, 1.280384
768, 905.970,   0.397,      9.394,   9.489,1179648,14155776, 4718592, 24,8,partition 1, 4.808800, 3.198496, 1.292512
768, 905.970,   0.397,      9.394,   9.489,1179648,14155776, 4718592, 24,8,partition 2, 5.023104, 3.177664, 1.288096
768, 905.970,   0.379,      9.389,   9.483,1179648,14155776, 4718592, 24,8,partition 1, 4.802496, 3.191552, 1.300096
768, 905.970,   0.379,      9.389,   9.483,1179648,14155776, 4718592, 24,8,partition 2, 5.015872, 3.182880, 1.284224
1152, 3057.648,   0.410,     24.887,  24.977,1179648,31850496, 10616832, 54,18,partition 1, 11.066592, 10.542880, 3.186784
1152, 3057.648,   0.410,     24.887,  24.977,1179648,31850496, 10616832, 54,18,partition 2, 11.280416, 10.550912, 3.146016
1152, 3057.648,   0.410,     24.847,  24.941,1179648,31850496, 10616832, 54,18,partition 1, 11.044000, 10.534400, 3.173888
1152, 3057.648,   0.410,     24.847,  24.941,1179648,31850496, 10616832, 54,18,partition 2, 11.251808, 10.549312, 3.140256
1152, 3057.648,   0.449,     24.825,  24.920,1179648,31850496, 10616832, 54,18,partition 1, 11.060384, 10.549696, 3.121024
1152, 3057.648,   0.449,     24.825,  24.920,1179648,31850496, 10616832, 54,18,partition 2, 11.274304, 10.542304, 3.103200
1152, 3057.648,   0.449,     24.883,  24.977,1179648,31850496, 10616832, 54,18,partition 1, 11.075872, 10.556096, 3.156096
1152, 3057.648,   0.449,     24.883,  24.977,1179648,31850496, 10616832, 54,18,partition 2, 11.296608, 10.547712, 3.132800
1152, 3057.648,   0.402,     24.902,  24.997,1179648,31850496, 10616832, 54,18,partition 1, 11.091904, 10.535552, 3.180416
