CUBLAS error: memory mapping error (11) in main at testing_dgemm_sync.cpp:143
#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
512, 268.435,   0.537,      2.027,   2.027,2097152,6291456, 2097152, 3,1,partition 1, 1.186592, 0.520864, 0.319264
512, 268.435,   0.211,      1.983,   1.983,2097152,6291456, 2097152, 3,1,partition 1, 1.110528, 0.549536, 0.322624
512, 268.435,   0.227,      1.969,   1.969,2097152,6291456, 2097152, 3,1,partition 1, 1.100160, 0.545856, 0.323264
512, 268.435,   0.232,      1.923,   1.923,2097152,6291456, 2097152, 3,1,partition 1, 1.083488, 0.520000, 0.319136
512, 268.435,   0.207,      1.901,   1.901,2097152,6291456, 2097152, 3,1,partition 1, 1.048992, 0.527296, 0.324544
1024, 2147.484,   0.197,      8.979,   8.979,2097152,25165824, 8388608, 12,4,partition 1, 4.179648, 3.533440, 1.266016
1024, 2147.484,   0.211,      8.910,   8.910,2097152,25165824, 8388608, 12,4,partition 1, 4.128224, 3.517440, 1.264128
1024, 2147.484,   0.211,      8.870,   8.870,2097152,25165824, 8388608, 12,4,partition 1, 4.098432, 3.506880, 1.264928
1024, 2147.484,   0.212,      8.909,   8.909,2097152,25165824, 8388608, 12,4,partition 1, 4.112640, 3.514560, 1.281344
1024, 2147.484,   0.226,      8.901,   8.901,2097152,25165824, 8388608, 12,4,partition 1, 4.107872, 3.523840, 1.269152
1536, 7247.757,   0.213,     23.755,  23.755,2097152,56623104, 18874368, 27,9,partition 1, 9.197056, 11.715744, 2.842272
1536, 7247.757,   0.208,     23.857,  23.857,2097152,56623104, 18874368, 27,9,partition 1, 9.276576, 11.730816, 2.849728
1536, 7247.757,   0.238,     23.863,  23.863,2097152,56623104, 18874368, 27,9,partition 1, 9.268128, 11.733024, 2.862240
1536, 7247.757,   0.223,     23.860,  23.860,2097152,56623104, 18874368, 27,9,partition 1, 9.277408, 11.732512, 2.849600
1536, 7247.757,   0.209,     23.849,  23.849,2097152,56623104, 18874368, 27,9,partition 1, 9.292128, 11.716832, 2.840352
2048, 17179.869,   0.222,     48.982,  48.982,2097152,100663296, 33554432, 48,16,partition 1, 16.504704, 27.431648, 5.046144
2048, 17179.869,   0.213,     49.017,  49.017,2097152,100663296, 33554432, 48,16,partition 1, 16.528032, 27.440224, 5.048832
2048, 17179.869,   0.195,     48.981,  48.981,2097152,100663296, 33554432, 48,16,partition 1, 16.498688, 27.439903, 5.042016
2048, 17179.869,   0.210,     49.116,  49.116,2097152,100663296, 33554432, 48,16,partition 1, 16.465887, 27.605408, 5.044480
2048, 17179.869,   0.229,     48.999,  48.999,2097152,100663296, 33554432, 48,16,partition 1, 16.532896, 27.424513, 5.041280
2560, 33554.432,   0.294,     86.534,  86.534,2097152,157286400, 52428800, 75,25,partition 1, 25.682913, 52.978432, 7.872832
2560, 33554.432,   0.215,     86.614,  86.614,2097152,157286400, 52428800, 75,25,partition 1, 25.774401, 52.940289, 7.899072
2560, 33554.432,   0.211,     86.687,  86.687,2097152,157286400, 52428800, 75,25,partition 1, 25.808031, 52.998337, 7.880768
2560, 33554.432,   0.197,     86.626,  86.626,2097152,157286400, 52428800, 75,25,partition 1, 25.816288, 52.924385, 7.885504
2560, 33554.432,   0.211,     86.607,  86.607,2097152,157286400, 52428800, 75,25,partition 1, 25.798304, 52.937920, 7.871200
3072, 57982.058,   0.227,    139.318, 139.318,2097152,226492416, 75497472, 108,36,partition 1, 37.146847, 90.817123, 11.354048
3072, 57982.058,   0.199,    139.251, 139.251,2097152,226492416, 75497472, 108,36,partition 1, 37.125984, 90.766304, 11.358656
3072, 57982.058,   0.196,    139.240, 139.240,2097152,226492416, 75497472, 108,36,partition 1, 37.143646, 90.761826, 11.334720
3072, 57982.058,   0.245,    139.202, 139.202,2097152,226492416, 75497472, 108,36,partition 1, 37.133022, 90.726913, 11.342496
3072, 57982.058,   0.218,    139.237, 139.237,2097152,226492416, 75497472, 108,36,partition 1, 37.128895, 90.760925, 11.347200
3584, 92073.361,   0.196,    209.680, 209.680,2097152,308281344, 102760448, 147,49,partition 1, 50.492191, 143.751099, 15.436960
3584, 92073.361,   0.215,    209.903, 209.903,2097152,308281344, 102760448, 147,49,partition 1, 50.586273, 143.890747, 15.426432
3584, 92073.361,   0.294,    209.405, 209.405,2097152,308281344, 102760448, 147,49,partition 1, 50.432770, 143.527527, 15.444512
3584, 92073.361,   0.197,    209.735, 209.735,2097152,308281344, 102760448, 147,49,partition 1, 50.575745, 143.711197, 15.447776
3584, 92073.361,   0.205,    209.683, 209.683,2097152,308281344, 102760448, 147,49,partition 1, 50.508190, 143.737701, 15.437024
4096, 137438.953,   0.196,    300.358, 300.358,2097152,402653184, 134217728, 192,64,partition 1, 65.983360, 214.203842, 20.170431
4096, 137438.953,   0.195,    300.212, 300.212,2097152,402653184, 134217728, 192,64,partition 1, 66.046494, 213.998398, 20.167521
4096, 137438.953,   0.233,    300.223, 300.223,2097152,402653184, 134217728, 192,64,partition 1, 66.029053, 214.014114, 20.180223
4096, 137438.953,   0.195,    300.328, 300.328,2097152,402653184, 134217728, 192,64,partition 1, 66.080292, 214.078918, 20.168928
4096, 137438.953,   0.292,    300.200, 300.200,2097152,402653184, 134217728, 192,64,partition 1, 66.025887, 213.996964, 20.176928
4608, 195689.447,   0.212,    413.535, 413.535,2097152,509607936, 169869312, 243,81,partition 1, 83.434364, 304.566650, 25.534208
4608, 195689.447,   0.202,    413.044, 413.044,2097152,509607936, 169869312, 243,81,partition 1, 83.517532, 304.026123, 25.500448
4608, 195689.447,   0.203,    413.298, 413.298,2097152,509607936, 169869312, 243,81,partition 1, 83.608894, 304.180450, 25.508608
4608, 195689.447,   0.214,    413.310, 413.310,2097152,509607936, 169869312, 243,81,partition 1, 83.628159, 304.154388, 25.527807
4608, 195689.447,   0.289,    413.596, 413.596,2097152,509607936, 169869312, 243,81,partition 1, 83.548988, 304.525574, 25.521441
