CUBLAS error: memory mapping error (11) in main at testing_dgemm_sync.cpp:143
#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
1024, 2147.484,   0.923,     15.721,  17.087,8388608,25165824, 8388608, 6,2,partition 1, 8.258624, 7.564000, 1.264480
1024, 2147.484,   0.923,     15.721,  17.087,8388608,25165824, 8388608, 6,2,partition 2, 5.514208, 7.577760, 1.263232
1024, 2147.484,   0.424,     16.400,  17.072,8388608,25165824, 8388608, 6,2,partition 1, 6.883872, 7.580640, 1.263104
1024, 2147.484,   0.424,     16.400,  17.072,8388608,25165824, 8388608, 6,2,partition 2, 8.258656, 7.543648, 1.269696
1024, 2147.484,   0.467,     16.390,  17.080,8388608,25165824, 8388608, 6,2,partition 1, 6.888384, 7.550496, 1.262048
1024, 2147.484,   0.467,     16.390,  17.080,8388608,25165824, 8388608, 6,2,partition 2, 8.261824, 7.561280, 1.256576
1024, 2147.484,   0.484,     16.389,  17.056,8388608,25165824, 8388608, 6,2,partition 1, 6.881152, 7.574464, 1.267104
1024, 2147.484,   0.484,     16.389,  17.056,8388608,25165824, 8388608, 6,2,partition 2, 8.253280, 7.538112, 1.264320
1024, 2147.484,   0.506,     15.031,  17.070,8388608,25165824, 8388608, 6,2,partition 1, 4.142880, 7.581152, 1.267168
1024, 2147.484,   0.506,     15.031,  17.070,8388608,25165824, 8388608, 6,2,partition 2, 8.251232, 7.553152, 1.265792
2048, 17179.869,   0.463,    101.794, 101.796,8388608,100663296, 33554432, 24,8,partition 1, 33.285694, 58.483521, 10.026816
2048, 17179.869,   0.463,    101.794, 101.796,8388608,100663296, 33554432, 24,8,partition 2, 33.293087, 58.470528, 10.028992
2048, 17179.869,   0.484,     95.379,  97.884,8388608,100663296, 33554432, 24,8,partition 1, 33.239361, 58.444607, 6.199680
2048, 17179.869,   0.484,     95.379,  97.884,8388608,100663296, 33554432, 24,8,partition 2, 29.105856, 58.731297, 5.037376
2048, 17179.869,   0.493,    101.905, 101.907,8388608,100663296, 33554432, 24,8,partition 1, 33.201183, 58.690594, 10.015616
2048, 17179.869,   0.493,    101.905, 101.907,8388608,100663296, 33554432, 24,8,partition 2, 33.211967, 58.661312, 10.030304
2048, 17179.869,   0.598,    102.022, 102.024,8388608,100663296, 33554432, 24,8,partition 1, 33.152962, 58.950623, 9.920384
2048, 17179.869,   0.598,    102.022, 102.024,8388608,100663296, 33554432, 24,8,partition 2, 33.140224, 58.846432, 10.033888
2048, 17179.869,   0.485,     95.482,  97.987,8388608,100663296, 33554432, 24,8,partition 1, 33.341537, 58.433567, 6.212000
2048, 17179.869,   0.485,     95.482,  97.987,8388608,100663296, 33554432, 24,8,partition 2, 29.191999, 58.754433, 5.031392
3072, 57982.058,   0.372,    286.060, 289.191,8388608,226492416, 75497472, 54,18,partition 1, 74.934242, 195.015808, 19.241217
3072, 57982.058,   0.372,    286.060, 289.191,8388608,226492416, 75497472, 54,18,partition 2, 70.790077, 195.848511, 16.290752
3072, 57982.058,   0.424,    287.432, 290.564,8388608,226492416, 75497472, 54,18,partition 1, 75.255295, 195.526428, 19.781792
3072, 57982.058,   0.424,    287.432, 290.564,8388608,226492416, 75497472, 54,18,partition 2, 72.479614, 195.530457, 16.291008
3072, 57982.058,   0.406,    285.751, 288.889,8388608,226492416, 75497472, 54,18,partition 1, 74.703613, 195.565369, 18.620129
3072, 57982.058,   0.406,    285.751, 288.889,8388608,226492416, 75497472, 54,18,partition 2, 70.564957, 195.751297, 16.296480
3072, 57982.058,   0.370,    286.882, 290.013,8388608,226492416, 75497472, 54,18,partition 1, 74.656670, 195.313721, 20.042368
3072, 57982.058,   0.370,    286.882, 290.013,8388608,226492416, 75497472, 54,18,partition 2, 71.904991, 195.559143, 16.286655
3072, 57982.058,   0.379,    286.948, 290.079,8388608,226492416, 75497472, 54,18,partition 1, 74.692924, 195.672028, 19.714272
3072, 57982.058,   0.379,    286.948, 290.079,8388608,226492416, 75497472, 54,18,partition 2, 71.938942, 195.589630, 16.288160
4096, 137438.953,   0.499,    635.666, 635.668,8388608,402653184, 134217728, 96,32,partition 1, 132.736771, 463.290680, 39.640064
4096, 137438.953,   0.499,    635.666, 635.668,8388608,402653184, 134217728, 96,32,partition 2, 132.729340, 462.864990, 40.069313
4096, 137438.953,   0.403,    635.473, 635.475,8388608,402653184, 134217728, 96,32,partition 1, 132.654236, 462.725586, 40.091072
4096, 137438.953,   0.403,    635.473, 635.475,8388608,402653184, 134217728, 96,32,partition 2, 132.665405, 463.232635, 39.576801
4096, 137438.953,   0.383,    636.567, 636.569,8388608,402653184, 134217728, 96,32,partition 1, 133.215973, 463.277802, 40.071102
4096, 137438.953,   0.383,    636.567, 636.569,8388608,402653184, 134217728, 96,32,partition 2, 133.226624, 463.589142, 39.753056
4096, 137438.953,   0.565,    636.063, 636.064,8388608,402653184, 134217728, 96,32,partition 1, 132.689407, 463.413391, 39.961601
4096, 137438.953,   0.565,    636.063, 636.064,8388608,402653184, 134217728, 96,32,partition 2, 132.680862, 463.295959, 40.084129
4096, 137438.953,   0.419,    630.825, 633.330,8388608,402653184, 134217728, 96,32,partition 1, 133.088898, 462.006134, 38.234623
4096, 137438.953,   0.419,    630.825, 633.330,8388608,402653184, 134217728, 96,32,partition 2, 128.948669, 464.308899, 35.062466
