CUBLAS error: memory mapping error (11) in main at testing_dgemm_cpystream.cpp:146
#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
1024, 2147.484,   0.840,     16.930,  16.931,8388608,25165824, 8388608, 6,2,partition 1, 6.784320, 7.576800, 2.568224
1024, 2147.484,   0.840,     16.930,  16.931,8388608,25165824, 8388608, 6,2,partition 2, 8.122272, 7.538464, 1.270752
1024, 2147.484,   0.436,     16.966,  16.967,8388608,25165824, 8388608, 6,2,partition 1, 6.812672, 7.574336, 2.577600
1024, 2147.484,   0.436,     16.966,  16.967,8388608,25165824, 8388608, 6,2,partition 2, 8.158880, 7.542944, 1.264864
1024, 2147.484,   0.436,     16.979,  16.980,8388608,25165824, 8388608, 6,2,partition 1, 6.821952, 7.574816, 2.580704
1024, 2147.484,   0.436,     16.979,  16.980,8388608,25165824, 8388608, 6,2,partition 2, 8.153728, 7.552928, 1.272896
1024, 2147.484,   0.421,     17.030,  17.031,8388608,25165824, 8388608, 6,2,partition 1, 6.878144, 7.559584, 2.591168
1024, 2147.484,   0.421,     17.030,  17.031,8388608,25165824, 8388608, 6,2,partition 2, 8.221184, 7.543712, 1.266080
1024, 2147.484,   0.482,     16.932,  16.934,8388608,25165824, 8388608, 6,2,partition 1, 6.785728, 7.566976, 2.578688
1024, 2147.484,   0.482,     16.932,  16.934,8388608,25165824, 8388608, 6,2,partition 2, 8.119840, 7.547680, 1.265984
2048, 17179.869,   0.419,     99.979,  99.980,8388608,100663296, 33554432, 24,8,partition 1, 31.200417, 58.519009, 10.258112
2048, 17179.869,   0.419,     99.979,  99.980,8388608,100663296, 33554432, 24,8,partition 2, 32.545311, 58.579166, 8.855136
2048, 17179.869,   0.431,     99.955,  99.956,8388608,100663296, 33554432, 24,8,partition 1, 31.481792, 58.406944, 10.064768
2048, 17179.869,   0.431,     99.955,  99.956,8388608,100663296, 33554432, 24,8,partition 2, 32.552128, 58.411137, 8.992320
2048, 17179.869,   0.437,    100.123, 100.124,8388608,100663296, 33554432, 24,8,partition 1, 31.578753, 58.456127, 10.087200
2048, 17179.869,   0.437,    100.123, 100.124,8388608,100663296, 33554432, 24,8,partition 2, 32.595520, 58.479393, 9.049280
2048, 17179.869,   0.443,    100.111, 100.112,8388608,100663296, 33554432, 24,8,partition 1, 31.622080, 58.429890, 10.057952
2048, 17179.869,   0.443,    100.111, 100.112,8388608,100663296, 33554432, 24,8,partition 2, 32.557182, 58.388802, 9.166016
2048, 17179.869,   0.564,    100.053, 100.054,8388608,100663296, 33554432, 24,8,partition 1, 31.500864, 58.484898, 10.066400
2048, 17179.869,   0.564,    100.053, 100.054,8388608,100663296, 33554432, 24,8,partition 2, 32.582111, 58.416801, 9.055328
3072, 57982.058,   0.416,    290.020, 290.021,8388608,226492416, 75497472, 54,18,partition 1, 72.191521, 195.102112, 22.725088
3072, 57982.058,   0.416,    290.020, 290.021,8388608,226492416, 75497472, 54,18,partition 2, 73.295555, 195.294617, 21.430624
3072, 57982.058,   0.452,    290.670, 290.671,8388608,226492416, 75497472, 54,18,partition 1, 72.858910, 195.127167, 22.682560
3072, 57982.058,   0.452,    290.670, 290.671,8388608,226492416, 75497472, 54,18,partition 2, 73.955841, 195.271133, 21.443745
3072, 57982.058,   0.443,    290.975, 290.976,8388608,226492416, 75497472, 54,18,partition 1, 72.825920, 195.373062, 22.774752
3072, 57982.058,   0.443,    290.975, 290.976,8388608,226492416, 75497472, 54,18,partition 2, 73.920670, 195.629761, 21.425377
3072, 57982.058,   0.447,    290.978, 290.979,8388608,226492416, 75497472, 54,18,partition 1, 72.830208, 195.449951, 22.697216
3072, 57982.058,   0.447,    290.978, 290.979,8388608,226492416, 75497472, 54,18,partition 2, 73.851517, 195.138855, 21.989088
3072, 57982.058,   0.351,    290.100, 290.101,8388608,226492416, 75497472, 54,18,partition 1, 72.269951, 195.137726, 22.691296
3072, 57982.058,   0.351,    290.100, 290.101,8388608,226492416, 75497472, 54,18,partition 2, 73.350044, 195.182495, 21.568512
4096, 137438.953,   0.386,    635.198, 635.199,8388608,402653184, 134217728, 96,32,partition 1, 131.634018, 463.095093, 40.468224
4096, 137438.953,   0.386,    635.198, 635.199,8388608,402653184, 134217728, 96,32,partition 2, 132.737564, 463.387543, 39.074303
4096, 137438.953,   0.470,    634.466, 634.467,8388608,402653184, 134217728, 96,32,partition 1, 130.345703, 462.760986, 41.358463
4096, 137438.953,   0.470,    634.466, 634.467,8388608,402653184, 134217728, 96,32,partition 2, 131.427811, 463.983124, 39.056290
4096, 137438.953,   0.461,    633.025, 633.029,8388608,402653184, 134217728, 96,32,partition 1, 130.210526, 462.453613, 40.356159
4096, 137438.953,   0.461,    633.025, 633.029,8388608,402653184, 134217728, 96,32,partition 2, 131.287262, 462.552948, 39.188801
4096, 137438.953,   0.449,    633.946, 633.947,8388608,402653184, 134217728, 96,32,partition 1, 130.907013, 462.830353, 40.207615
4096, 137438.953,   0.449,    633.946, 633.947,8388608,402653184, 134217728, 96,32,partition 2, 132.009338, 462.341858, 39.595871
4096, 137438.953,   0.416,    632.672, 632.677,8388608,402653184, 134217728, 96,32,partition 1, 129.634430, 462.736420, 40.297375
4096, 137438.953,   0.416,    632.672, 632.677,8388608,402653184, 134217728, 96,32,partition 2, 130.701599, 462.474762, 39.500320
