CUBLAS error: memory mapping error (11) in main at testing_dgemm_sync.cpp:143
#size, mflops, magma_cputime, ATT, totaltime, chunksize, totalsizeHtD, totalsizeDtH, no_chunksHtD, no_chunksDtH, Kernel, HtDtime, Kerneltime, DtHtime
512, 268.435,   0.958,      3.354,   3.530,2097152,6291456, 2097152, 6,2,partition 1, 1.769760, 1.079808, 0.328224
512, 268.435,   0.958,      3.354,   3.530,2097152,6291456, 2097152, 6,2,partition 2, 2.130080, 1.066080, 0.334304
512, 268.435,   0.433,      3.395,   3.573,2097152,6291456, 2097152, 6,2,partition 1, 1.818624, 1.071008, 0.326944
512, 268.435,   0.433,      3.395,   3.573,2097152,6291456, 2097152, 6,2,partition 2, 2.185952, 1.067744, 0.319264
512, 268.435,   0.645,      3.482,   3.672,2097152,6291456, 2097152, 6,2,partition 1, 1.897152, 1.067104, 0.328064
512, 268.435,   0.645,      3.482,   3.672,2097152,6291456, 2097152, 6,2,partition 2, 2.274656, 1.062208, 0.335392
512, 268.435,   0.579,      3.454,   3.624,2097152,6291456, 2097152, 6,2,partition 1, 1.859776, 1.089600, 0.334976
512, 268.435,   0.579,      3.454,   3.624,2097152,6291456, 2097152, 6,2,partition 2, 2.235744, 1.063904, 0.324224
512, 268.435,   0.562,      3.520,   3.688,2097152,6291456, 2097152, 6,2,partition 1, 1.913536, 1.089408, 0.348672
512, 268.435,   0.562,      3.520,   3.688,2097152,6291456, 2097152, 6,2,partition 2, 2.288928, 1.064384, 0.335008
1024, 2147.484,   0.422,     18.556,  18.715,2097152,25165824, 8388608, 24,8,partition 1, 8.529152, 7.573536, 2.293920
1024, 2147.484,   0.422,     18.556,  18.715,2097152,25165824, 8388608, 24,8,partition 2, 8.898976, 7.558624, 2.257472
1024, 2147.484,   0.453,     18.572,  18.732,2097152,25165824, 8388608, 24,8,partition 1, 8.564416, 7.572480, 2.274624
1024, 2147.484,   0.453,     18.572,  18.732,2097152,25165824, 8388608, 24,8,partition 2, 8.936320, 7.544544, 2.251488
1024, 2147.484,   0.543,     18.510,  18.670,2097152,25165824, 8388608, 24,8,partition 1, 8.497536, 7.560064, 2.291520
1024, 2147.484,   0.543,     18.510,  18.670,2097152,25165824, 8388608, 24,8,partition 2, 8.863776, 7.558304, 2.248352
1024, 2147.484,   0.461,     18.574,  18.735,2097152,25165824, 8388608, 24,8,partition 1, 8.553984, 7.561440, 2.298432
1024, 2147.484,   0.461,     18.574,  18.735,2097152,25165824, 8388608, 24,8,partition 2, 8.923136, 7.557632, 2.254112
1024, 2147.484,   0.444,     18.557,  18.716,2097152,25165824, 8388608, 24,8,partition 1, 8.532224, 7.567072, 2.298336
1024, 2147.484,   0.444,     18.557,  18.716,2097152,25165824, 8388608, 24,8,partition 2, 8.896256, 7.561376, 2.258112
1536, 7247.757,   0.410,     50.211,  50.371,2097152,56623104, 18874368, 54,18,partition 1, 19.749088, 24.714369, 5.586752
1536, 7247.757,   0.410,     50.211,  50.371,2097152,56623104, 18874368, 54,18,partition 2, 20.117664, 24.719072, 5.534176
1536, 7247.757,   0.378,     50.506,  50.667,2097152,56623104, 18874368, 54,18,partition 1, 19.840416, 25.001247, 5.503776
1536, 7247.757,   0.378,     50.506,  50.667,2097152,56623104, 18874368, 54,18,partition 2, 20.468063, 24.716288, 5.482304
1536, 7247.757,   0.442,     50.405,  50.565,2097152,56623104, 18874368, 54,18,partition 1, 19.750080, 24.970655, 5.523680
1536, 7247.757,   0.442,     50.405,  50.565,2097152,56623104, 18874368, 54,18,partition 2, 20.369984, 24.720257, 5.474880
1536, 7247.757,   0.548,     50.411,  50.570,2097152,56623104, 18874368, 54,18,partition 1, 19.709633, 25.015137, 5.526848
1536, 7247.757,   0.548,     50.411,  50.570,2097152,56623104, 18874368, 54,18,partition 2, 20.352863, 24.729568, 5.488032
1536, 7247.757,   0.543,     50.483,  50.642,2097152,56623104, 18874368, 54,18,partition 1, 19.746016, 25.038080, 5.539648
1536, 7247.757,   0.543,     50.483,  50.642,2097152,56623104, 18874368, 54,18,partition 2, 20.441952, 24.729504, 5.470848
2048, 17179.869,   0.438,    104.331, 104.491,2097152,100663296, 33554432, 96,32,partition 1, 35.299297, 58.829887, 10.040960
2048, 17179.869,   0.438,    104.331, 104.491,2097152,100663296, 33554432, 96,32,partition 2, 35.972607, 58.410656, 10.107744
2048, 17179.869,   0.411,    104.436, 104.596,2097152,100663296, 33554432, 96,32,partition 1, 35.416512, 58.812767, 10.047776
2048, 17179.869,   0.411,    104.436, 104.596,2097152,100663296, 33554432, 96,32,partition 2, 36.088959, 58.482655, 10.024320
2048, 17179.869,   0.536,    104.391, 104.551,2097152,100663296, 33554432, 96,32,partition 1, 35.500706, 58.662594, 10.066720
2048, 17179.869,   0.536,    104.391, 104.551,2097152,100663296, 33554432, 96,32,partition 2, 36.138687, 58.380257, 10.032096
2048, 17179.869,   0.402,    104.584, 104.744,2097152,100663296, 33554432, 96,32,partition 1, 35.597569, 58.744766, 10.082496
2048, 17179.869,   0.402,    104.584, 104.744,2097152,100663296, 33554432, 96,32,partition 2, 36.234913, 58.403072, 10.105760
2048, 17179.869,   0.511,    104.593, 104.753,2097152,100663296, 33554432, 96,32,partition 1, 35.657249, 58.683456, 10.091776
2048, 17179.869,   0.511,    104.593, 104.753,2097152,100663296, 33554432, 96,32,partition 2, 36.297825, 58.416481, 10.038880
2560, 33554.432,   0.477,    186.431, 186.592,2097152,157286400, 52428800, 150,50,partition 1, 56.318562, 113.958496, 15.994208
2560, 33554.432,   0.477,    186.431, 186.592,2097152,157286400, 52428800, 150,50,partition 2, 57.005154, 113.716415, 15.870080
2560, 33554.432,   0.512,    186.476, 186.638,2097152,157286400, 52428800, 150,50,partition 1, 56.541634, 113.891266, 15.882240
2560, 33554.432,   0.512,    186.476, 186.638,2097152,157286400, 52428800, 150,50,partition 2, 57.164894, 113.598206, 15.874656
2560, 33554.432,   0.375,    185.828, 185.988,2097152,157286400, 52428800, 150,50,partition 1, 55.842239, 113.803070, 16.022240
2560, 33554.432,   0.375,    185.828, 185.988,2097152,157286400, 52428800, 150,50,partition 2, 56.529758, 113.604515, 15.853632
2560, 33554.432,   0.384,    185.620, 185.780,2097152,157286400, 52428800, 150,50,partition 1, 55.631969, 113.931908, 15.896864
2560, 33554.432,   0.384,    185.620, 185.780,2097152,157286400, 52428800, 150,50,partition 2, 56.259422, 113.738014, 15.782144
2560, 33554.432,   0.450,    185.817, 185.977,2097152,157286400, 52428800, 150,50,partition 1, 55.689407, 113.970627, 15.997184
2560, 33554.432,   0.450,    185.817, 185.977,2097152,157286400, 52428800, 150,50,partition 2, 56.375359, 113.712929, 15.889088
3072, 57982.058,   0.378,    299.920, 300.080,2097152,226492416, 75497472, 216,72,partition 1, 80.593346, 196.042725, 23.123297
3072, 57982.058,   0.378,    299.920, 300.080,2097152,226492416, 75497472, 216,72,partition 2, 81.354370, 195.607239, 23.118561
3072, 57982.058,   0.438,    300.080, 300.240,2097152,226492416, 75497472, 216,72,partition 1, 81.321922, 195.531067, 23.067871
3072, 57982.058,   0.438,    300.080, 300.240,2097152,226492416, 75497472, 216,72,partition 2, 81.972290, 195.267014, 23.000223
3072, 57982.058,   0.535,    299.324, 299.484,2097152,226492416, 75497472, 216,72,partition 1, 80.400574, 195.516678, 23.246944
3072, 57982.058,   0.535,    299.324, 299.484,2097152,226492416, 75497472, 216,72,partition 2, 81.075806, 195.259491, 23.149055
3072, 57982.058,   0.392,    299.734, 299.893,2097152,226492416, 75497472, 216,72,partition 1, 80.580482, 195.975876, 23.018751
3072, 57982.058,   0.392,    299.734, 299.893,2097152,226492416, 75497472, 216,72,partition 2, 81.201920, 195.323517, 23.368065
3072, 57982.058,   0.402,    299.509, 299.670,2097152,226492416, 75497472, 216,72,partition 1, 80.401085, 195.675674, 23.272160
3072, 57982.058,   0.402,    299.509, 299.670,2097152,226492416, 75497472, 216,72,partition 2, 81.017181, 195.137314, 23.515232
3584, 92073.361,   0.387,    453.094, 453.255,2097152,308281344, 102760448, 294,98,partition 1, 110.110077, 311.017609, 31.806528
3584, 92073.361,   0.387,    453.094, 453.255,2097152,308281344, 102760448, 294,98,partition 2, 110.952164, 310.042450, 32.259937
3584, 92073.361,   0.403,    452.937, 453.096,2097152,308281344, 102760448, 294,98,partition 1, 109.876129, 311.394104, 31.507105
3584, 92073.361,   0.403,    452.937, 453.096,2097152,308281344, 102760448, 294,98,partition 2, 110.569405, 310.436920, 32.089825
3584, 92073.361,   0.499,    448.972, 449.131,2097152,308281344, 102760448, 294,98,partition 1, 106.892578, 310.771027, 31.149376
3584, 92073.361,   0.499,    448.972, 449.131,2097152,308281344, 102760448, 294,98,partition 2, 107.493790, 310.154541, 31.482752
3584, 92073.361,   0.438,    449.039, 449.198,2097152,308281344, 102760448, 294,98,partition 1, 106.894691, 310.285126, 31.699936
3584, 92073.361,   0.438,    449.039, 449.198,2097152,308281344, 102760448, 294,98,partition 2, 107.494339, 310.554626, 31.148865
3584, 92073.361,   0.434,    448.929, 449.088,2097152,308281344, 102760448, 294,98,partition 1, 107.127617, 310.482300, 31.159679
3584, 92073.361,   0.434,    448.929, 449.088,2097152,308281344, 102760448, 294,98,partition 2, 107.753792, 309.825317, 31.508833
4096, 137438.953,   0.422,    644.827, 644.986,2097152,402653184, 134217728, 384,128,partition 1, 140.325409, 463.567902, 40.774784
4096, 137438.953,   0.422,    644.827, 644.986,2097152,402653184, 134217728, 384,128,partition 2, 140.994751, 462.749573, 41.241856
4096, 137438.953,   0.470,    649.818, 649.978,2097152,402653184, 134217728, 384,128,partition 1, 143.616928, 462.188110, 43.853634
4096, 137438.953,   0.470,    649.818, 649.978,2097152,402653184, 134217728, 384,128,partition 2, 144.233154, 464.819977, 40.924446
4096, 137438.953,   0.584,    648.452, 648.613,2097152,402653184, 134217728, 384,128,partition 1, 143.503418, 463.113129, 41.675201
4096, 137438.953,   0.584,    648.452, 648.613,2097152,402653184, 134217728, 384,128,partition 2, 144.200607, 463.275726, 41.136318
4096, 137438.953,   0.529,    647.826, 647.986,2097152,402653184, 134217728, 384,128,partition 1, 143.362305, 462.775208, 41.528992
4096, 137438.953,   0.529,    647.826, 647.986,2097152,402653184, 134217728, 384,128,partition 2, 144.184128, 462.282532, 41.519104
4096, 137438.953,   0.412,    648.394, 648.555,2097152,402653184, 134217728, 384,128,partition 1, 143.178329, 463.652374, 41.403297
4096, 137438.953,   0.412,    648.394, 648.555,2097152,402653184, 134217728, 384,128,partition 2, 143.872925, 463.576202, 41.105824
4608, 195689.447,   0.428,    893.444, 893.605,2097152,509607936, 169869312, 486,162,partition 1, 182.017120, 656.984070, 54.281536
4608, 195689.447,   0.428,    893.444, 893.605,2097152,509607936, 169869312, 486,162,partition 2, 182.636444, 658.380920, 52.587646
4608, 195689.447,   0.435,    893.590, 893.751,2097152,509607936, 169869312, 486,162,partition 1, 181.273895, 659.360168, 52.795872
4608, 195689.447,   0.435,    893.590, 893.751,2097152,509607936, 169869312, 486,162,partition 2, 181.891418, 658.451111, 53.408192
4608, 195689.447,   0.406,    892.447, 892.607,2097152,509607936, 169869312, 486,162,partition 1, 181.488281, 657.820007, 52.979874
4608, 195689.447,   0.406,    892.447, 892.607,2097152,509607936, 169869312, 486,162,partition 2, 182.132477, 658.049988, 52.424225
4608, 195689.447,   0.430,    894.206, 894.367,2097152,509607936, 169869312, 486,162,partition 1, 182.933121, 657.421082, 53.691647
4608, 195689.447,   0.430,    894.206, 894.367,2097152,509607936, 169869312, 486,162,partition 2, 183.626205, 658.554504, 52.185791
4608, 195689.447,   0.409,    896.405, 896.566,2097152,509607936, 169869312, 486,162,partition 1, 183.454300, 660.197876, 52.592609
4608, 195689.447,   0.409,    896.405, 896.566,2097152,509607936, 169869312, 486,162,partition 2, 184.072601, 658.583130, 53.909855
