size,dsetmatrix,cudaMemcpy,chunktime,chunk_nosync,chunktimestream,chunkstreams_ nosync,chunkno,chunksize,streams,totchunks,Single Stream Chunking nosync,Stream Chunking,Stream Chunking nosync,Stream Chunk size
128,0.064941,0.050049,0.067871,0.037842,0.076904,0.047852,1,32768,4,4,0.7560990229575016,1.5365741573258207,0.9561030190413394,32768.0
128,0.053223,0.038818,0.043945,0.036864999999999995,0.068848,0.046875,1,32768,4,4,0.9496882889381214,1.7736101808439386,1.2075583492194344,32768.0
128,0.052002,0.039062,0.043701,0.036864999999999995,0.07006799999999999,0.048827999999999996,1,32768,4,4,0.9437560800778249,1.79376376017613,1.250012800163842,32768.0
128,0.058105,0.036864999999999995,0.043213,0.036133,0.07006799999999999,0.048096,1,32768,4,4,0.9801437678014377,1.9006645870066459,1.3046521090465213,32768.0
128,0.058838,0.045166000000000005,0.042969,0.036864999999999995,0.07714800000000001,0.048827999999999996,1,32768,4,4,0.8162113093920204,1.7080990125315503,1.0810786875083025,32768.0
192,0.079834,0.064941,0.069824,0.062988,0.10913099999999999,0.075928,1,73728,4,4,0.9699265487134476,1.6804638056081673,1.1691843365516392,73728.0
192,0.085938,0.064209,0.069824,0.062988,0.10180700000000001,0.073975,1,73728,4,4,0.980983974209223,1.5855565419177997,1.1520970580448224,73728.0
192,0.08520499999999999,0.069824,0.07006799999999999,0.20581100000000002,0.106201,0.06689500000000001,1,73728,4,4,2.9475681714023834,1.5209813244729606,0.9580516727772688,73728.0
192,0.076172,0.062012,0.062012,0.056152,0.09716799999999999,0.067871,1,73728,4,4,0.9055021608720893,1.5669225311230084,1.0944817132167968,73728.0
192,0.074951,0.055908000000000006,0.059814,0.054932,0.101074,0.06689500000000001,1,73728,4,4,0.9825427488016025,1.8078629176504255,1.196519281677041,73728.0
256,0.112061,0.094238,0.0979,0.09301799999999999,0.13281199999999999,0.104736,1,131072,4,4,0.9870540546276447,1.4093253252403488,1.1113987987860523,131072.0
256,0.112061,0.094238,0.09814500000000001,0.09277300000000001,0.13501,0.105225,1,131072,4,4,0.9844542541225408,1.4326492497718541,1.1165877883656274,131072.0
256,0.112061,0.09887699999999999,0.096924,0.092041,0.126221,0.104004,1,131072,4,4,0.9308635982078745,1.2765456071685024,1.0518523013440944,131072.0
256,0.112793,0.099854,0.0979,0.09301799999999999,0.14209000000000002,0.104736,1,131072,4,4,0.9315400484707672,1.4229775472189399,1.0488913814168686,131072.0
256,0.11303699999999998,0.100342,0.09814500000000001,0.09301799999999999,0.14013699999999998,0.105225,1,131072,4,4,0.927009627075402,1.3965936497179643,1.048663570588587,131072.0
