size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.059082, 0.050049, 0.066162, 0.037842, 0.114014, 0.069824,  1, 16384
128, 0.052979, 0.039062, 0.044922, 0.037842, 0.119141, 0.073975,  1, 16384
128, 0.065186, 0.037109, 0.042969, 0.036133, 0.108887, 0.071045,  1, 16384
128, 0.052002, 0.038086, 0.044189, 0.035889, 0.108887, 0.070801,  1, 16384
128, 0.066162, 0.039062, 0.044922, 0.037109, 0.110840, 0.070801,  1, 16384
192, 0.062256, 0.055176, 0.060059, 0.054932, 0.152100, 0.078125,  1, 36864
192, 0.081055, 0.057861, 0.058105, 0.055908, 0.141846, 0.079102,  1, 36864
192, 0.076172, 0.055908, 0.056885, 0.055176, 0.134033, 0.077881,  1, 36864
192, 0.075928, 0.061035, 0.057861, 0.057129, 0.145020, 0.079346,  1, 36864
192, 0.067871, 0.056152, 0.057373, 0.054688, 0.137939, 0.076904,  1, 36864
256, 0.098877, 0.093018, 0.093750, 0.093018, 0.191895, 0.114990,  1, 65536
256, 0.106934, 0.093994, 0.094971, 0.093018, 0.194092, 0.116211,  1, 65536
256, 0.112061, 0.093018, 0.093994, 0.091797, 0.170166, 0.114990,  1, 65536
256, 0.105957, 0.093018, 0.094727, 0.093018, 0.198242, 0.115967,  1, 65536
256, 0.113037, 0.101074, 0.094971, 0.093750, 0.200928, 0.115967,  1, 65536
320, 0.148193, 0.140869, 0.142090, 0.138916, 0.221924, 0.161865,  1, 102400
320, 0.152100, 0.140137, 0.142090, 0.140869, 0.221191, 0.163086,  1, 102400
320, 0.152832, 0.140869, 0.142090, 0.139893, 0.218994, 0.162842,  1, 102400
320, 0.153076, 0.145020, 0.142090, 0.140137, 0.229248, 0.161865,  1, 102400
320, 0.159912, 0.140869, 0.141846, 0.140137, 0.223145, 0.162842,  1, 102400
384, 0.217041, 0.198242, 0.200195, 0.197998, 0.262207, 0.219238,  1, 147456
384, 0.218750, 0.197998, 0.199219, 0.198975, 0.286865, 0.220215,  1, 147456
384, 0.216797, 0.197998, 0.198975, 0.197998, 0.281006, 0.218994,  1, 147456
384, 0.216797, 0.198242, 0.199951, 0.197021, 0.274902, 0.220947,  1, 147456
384, 0.218018, 0.197754, 0.198730, 0.197998, 0.275635, 0.221191,  1, 147456
448, 0.280029, 0.265869, 0.265869, 0.264893, 0.354980, 0.287842,  1, 200704
448, 0.299805, 0.265137, 0.266113, 0.265137, 0.358887, 0.289062,  1, 200704
448, 0.280273, 0.265625, 0.267090, 0.265137, 0.350830, 0.287109,  1, 200704
448, 0.300049, 0.265869, 0.268066, 0.266113, 0.348145, 0.286865,  1, 200704
448, 0.290771, 0.265869, 0.267090, 0.265869, 0.359131, 0.288086,  1, 200704
512, 0.373047, 0.351807, 0.353271, 0.350098, 0.410156, 0.367188,  1, 262144
512, 0.358154, 0.349854, 0.351074, 0.349121, 0.426025, 0.368164,  1, 262144
512, 0.371826, 0.349854, 0.361084, 0.349854, 0.420166, 0.369141,  1, 262144
512, 0.357666, 0.350830, 0.351074, 0.350098, 0.419189, 0.369141,  1, 262144
512, 0.363037, 0.351807, 0.352783, 0.351318, 0.410889, 0.368164,  1, 262144
576, 0.460938, 0.439941, 0.442871, 0.438965, 0.539795, 0.454834,  1, 331776
576, 0.460205, 0.439697, 0.448975, 0.440186, 0.534180, 0.456055,  1, 331776
576, 0.452148, 0.439941, 0.441162, 0.439941, 0.536133, 0.456055,  1, 331776
576, 0.462158, 0.435059, 0.440186, 0.433105, 0.535156, 0.456055,  1, 331776
576, 0.456055, 0.440186, 0.441162, 0.437988, 0.538086, 0.456055,  1, 331776
640, 0.565918, 0.540039, 0.555908, 0.545166, 0.604248, 0.554932,  1, 409600
640, 0.564941, 0.538086, 0.563232, 0.544189, 0.614990, 0.555908,  1, 409600
640, 0.571045, 0.540039, 0.547852, 0.538818, 0.613037, 0.556885,  1, 409600
640, 0.569824, 0.539062, 0.555176, 0.538086, 0.605957, 0.554932,  1, 409600
640, 0.569092, 0.538086, 0.548096, 0.537842, 0.613770, 0.563232,  1, 409600
704, 0.675781, 0.644043, 0.653076, 0.662109, 0.754150, 0.664795,  1, 495616
704, 0.683105, 0.648926, 0.660156, 0.653076, 0.755127, 0.665039,  1, 495616
