size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.293945, 0.049805, 0.071045, 0.040039, 0.073975, 0.055908,  2, 65536
128, 0.247070, 0.038818, 0.046875, 0.039062, 0.082031, 0.047852,  2, 65536
128, 0.278076, 0.037842, 0.047119, 0.040039, 0.071045, 0.047852,  2, 65536
128, 0.332031, 0.036865, 0.046143, 0.037842, 0.076904, 0.049072,  2, 65536
128, 0.292969, 0.046875, 0.047852, 0.040283, 0.077148, 0.048828,  2, 65536
192, 0.308105, 0.064941, 0.074219, 0.065918, 0.095947, 0.072998,  2, 147456
192, 0.365967, 0.064941, 0.077148, 0.065186, 0.105225, 0.075195,  2, 147456
192, 0.541992, 0.072998, 0.069092, 0.063965, 0.106689, 0.075928,  2, 147456
192, 0.089844, 0.072021, 0.075195, 0.065674, 0.104004, 0.076172,  2, 147456
192, 0.330078, 0.065186, 0.072754, 0.065918, 0.091797, 0.074707,  2, 147456
256, 0.362793, 0.109131, 0.110107, 0.102051, 0.141113, 0.112061,  2, 262144
256, 0.397949, 0.107178, 0.104980, 0.100830, 0.150879, 0.112061,  2, 262144
256, 0.355957, 0.108887, 0.105957, 0.101807, 0.159912, 0.109863,  2, 262144
256, 0.370850, 0.107910, 0.105957, 0.102051, 0.147949, 0.109863,  2, 262144
256, 0.406982, 0.101074, 0.106934, 0.103027, 0.151855, 0.109863,  2, 262144
320, 0.389160, 0.148193, 0.153076, 0.148926, 0.190918, 0.156250,  2, 409600
320, 0.397949, 0.155029, 0.153076, 0.149170, 0.196045, 0.159180,  2, 409600
320, 0.421875, 0.153076, 0.151855, 0.148193, 0.179932, 0.157959,  2, 409600
320, 0.405029, 0.153809, 0.153076, 0.149902, 0.192139, 0.157959,  2, 409600
320, 0.473877, 0.146729, 0.151123, 0.147949, 0.189209, 0.158203,  2, 409600
384, 0.489014, 0.205811, 0.210938, 0.207031, 0.251221, 0.214111,  2, 589824
384, 0.461182, 0.203857, 0.208984, 0.204834, 0.262207, 0.216064,  2, 589824
384, 0.458984, 0.204834, 0.210938, 0.206055, 0.260254, 0.217041,  2, 589824
384, 0.485840, 0.204102, 0.209961, 0.206055, 0.254150, 0.216064,  2, 589824
384, 0.444824, 0.198975, 0.208740, 0.199707, 0.243164, 0.208252,  2, 589824
448, 0.510742, 0.267090, 0.272949, 0.267822, 0.298096, 0.277100,  2, 802816
448, 0.642822, 0.266846, 0.272949, 0.267822, 0.305908, 0.277100,  2, 802816
448, 0.581055, 0.264893, 0.272217, 0.267090, 0.303955, 0.276855,  2, 802816
448, 0.503906, 0.266113, 0.272949, 0.268311, 0.316162, 0.276123,  2, 802816
448, 0.526855, 0.266113, 0.270020, 0.268066, 0.297852, 0.276123,  2, 802816
512, 0.593262, 0.350830, 0.355957, 0.345947, 0.381836, 0.356201,  2, 1048576
512, 0.627197, 0.349854, 0.358154, 0.346924, 0.385010, 0.355957,  2, 1048576
512, 0.585938, 0.352051, 0.361084, 0.345947, 0.380859, 0.354980,  2, 1048576
512, 0.593994, 0.351807, 0.353027, 0.347168, 0.378174, 0.354004,  2, 1048576
