size, dsetmatrix,cudaMemcpy, chunktime, chunk_nosync, chunktimestream, chunkstreams_ nosync, chunkno,chunksize
128, 0.058105, 0.048828, 0.070068, 0.039795, 0.115967, 0.071045,  2, 65536
128, 0.050049, 0.038086, 0.066162, 0.038818, 0.118164, 0.070068,  2, 65536
128, 0.058105, 0.040039, 0.046875, 0.040039, 0.109131, 0.071045,  2, 65536
128, 0.065918, 0.039062, 0.046875, 0.040039, 0.108154, 0.071045,  2, 65536
128, 0.057861, 0.038818, 0.048096, 0.039062, 0.112061, 0.068848,  2, 65536
192, 0.078125, 0.064697, 0.073730, 0.066895, 0.120117, 0.086182,  2, 147456
192, 0.083740, 0.063232, 0.072998, 0.064941, 0.114014, 0.087158,  2, 147456
192, 0.086182, 0.063965, 0.073242, 0.065674, 0.121338, 0.086914,  2, 147456
192, 0.093018, 0.071045, 0.074951, 0.066162, 0.121826, 0.086914,  2, 147456
192, 0.093018, 0.068115, 0.074219, 0.065918, 0.126953, 0.087891,  2, 147456
256, 0.124023, 0.103027, 0.110840, 0.103027, 0.189941, 0.125000,  2, 262144
256, 0.139893, 0.101074, 0.109863, 0.103027, 0.177979, 0.124023,  2, 262144
256, 0.122070, 0.106689, 0.110107, 0.102051, 0.168945, 0.125244,  2, 262144
256, 0.147949, 0.104004, 0.118164, 0.103027, 0.184082, 0.126953,  2, 262144
256, 0.118164, 0.103027, 0.112061, 0.104004, 0.162842, 0.125977,  2, 262144
320, 0.177246, 0.148193, 0.157959, 0.151123, 0.231201, 0.172119,  2, 409600
320, 0.170410, 0.148926, 0.157715, 0.150879, 0.236084, 0.174072,  2, 409600
320, 0.176025, 0.147949, 0.156982, 0.151123, 0.221924, 0.176025,  2, 409600
320, 0.167969, 0.149902, 0.159180, 0.157227, 0.233154, 0.174072,  2, 409600
320, 0.166260, 0.149902, 0.158936, 0.149902, 0.232178, 0.172119,  2, 409600
384, 0.228027, 0.208008, 0.215820, 0.207031, 0.288086, 0.231934,  2, 589824
384, 0.221924, 0.207275, 0.213867, 0.206787, 0.277100, 0.229980,  2, 589824
384, 0.235107, 0.208008, 0.219238, 0.208008, 0.286865, 0.230957,  2, 589824
384, 0.229004, 0.207764, 0.216064, 0.209229, 0.299805, 0.231934,  2, 589824
384, 0.220703, 0.207031, 0.218750, 0.207764, 0.307129, 0.230957,  2, 589824
448, 0.466064, 0.281006, 0.284180, 0.275146, 0.364014, 0.300049,  2, 802816
448, 0.462158, 0.274902, 0.279785, 0.276123, 0.364014, 0.299072,  2, 802816
448, 0.458984, 0.275146, 0.281250, 0.274902, 0.357178, 0.300049,  2, 802816
448, 0.532959, 0.274902, 0.281006, 0.278076, 0.355957, 0.298096,  2, 802816
448, 0.271729, 0.267090, 0.270996, 0.269775, 0.348877, 0.291016,  2, 802816
512, 0.352051, 0.348145, 0.357178, 0.353027, 0.422119, 0.371826,  2, 1048576
512, 0.360107, 0.355957, 0.358154, 0.348145, 0.423096, 0.373047,  2, 1048576
512, 0.353027, 0.351807, 0.354980, 0.354980, 0.413818, 0.371094,  2, 1048576
512, 0.365967, 0.351074, 0.348877, 0.354004, 0.424072, 0.372314,  2, 1048576
512, 0.352783, 0.350830, 0.351074, 0.352051, 0.423096, 0.372314,  2, 1048576
576, 0.450684, 0.433105, 0.446289, 0.443848, 0.540771, 0.460205,  2, 1327104
576, 0.458008, 0.439941, 0.444824, 0.435059, 0.539062, 0.467041,  2, 1327104
576, 0.449219, 0.433838, 0.445068, 0.437988, 0.539062, 0.460693,  2, 1327104
576, 0.448975, 0.433105, 0.438721, 0.435303, 0.535156, 0.458008,  2, 1327104
576, 0.456055, 0.441162, 0.443115, 0.438965, 0.536865, 0.459961,  2, 1327104
640, 0.569092, 0.539062, 0.547119, 0.542969, 0.604980, 0.559082,  2, 1638400
640, 0.562988, 0.539062, 0.546143, 0.541016, 0.616943, 0.559082,  2, 1638400
640, 0.555908, 0.534912, 0.546875, 0.541016, 0.612061, 0.560059,  2, 1638400
640, 0.565918, 0.533203, 0.539062, 0.540039, 0.613770, 0.562988,  2, 1638400
640, 0.776123, 0.533691, 0.544189, 0.541992, 0.616943, 0.559082,  2, 1638400
704, 0.972168, 0.642090, 0.651123, 0.652100, 0.755127, 0.671143,  2, 1982464
704, 0.895264, 0.644043, 0.660156, 0.648926, 0.744873, 0.666260,  2, 1982464
704, 0.900146, 0.643799, 0.651123, 0.648926, 0.755859, 0.668945,  2, 1982464
704, 1.143066, 0.643066, 0.655762, 0.649170, 0.750977, 0.666748,  2, 1982464
704, 0.895020, 0.643066, 0.656006, 0.646240, 0.753906, 0.667969,  2, 1982464
768, 1.044922, 0.763184, 0.783936, 0.770996, 0.830078, 0.788818,  2, 2359296
768, 1.024170, 0.771973, 0.778809, 0.763916, 0.826904, 0.789062,  2, 2359296
768, 1.163086, 0.762939, 0.770996, 0.772949, 0.827148, 0.789062,  2, 2359296
768, 1.026123, 0.763916, 0.779785, 0.785889, 0.825684, 0.789062,  2, 2359296
768, 1.019043, 0.764160, 0.791016, 0.782959, 0.828857, 0.791016,  2, 2359296
832, 1.156982, 0.900879, 0.909180, 0.902832, 0.979248, 0.926025,  2, 2768896
832, 1.164062, 0.894043, 0.909912, 0.908203, 0.979004, 0.922852,  2, 2768896
832, 1.173828, 0.900146, 0.901855, 0.902100, 0.984863, 0.921875,  2, 2768896
832, 1.208252, 0.893311, 0.921875, 0.900879, 0.968018, 0.919922,  2, 2768896
832, 1.208984, 0.894043, 0.902832, 0.895020, 0.973877, 0.920166,  2, 2768896
896, 1.368896, 1.033936, 1.056885, 1.051025, 1.098145, 1.061035,  2, 3211264
896, 1.365967, 1.042236, 1.058105, 1.055176, 1.115234, 1.060059,  2, 3211264
896, 1.312988, 1.040771, 1.043945, 1.043945, 1.120117, 1.058838,  2, 3211264
896, 1.312256, 1.034180, 1.057129, 1.048096, 1.120117, 1.065918,  2, 3211264
